school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1100,Bethel Christian Academy,15,0.5364,,,0.5792,0.1,0.5838,0.6667,0.6163,0.6388,0.4076,0.4055,0.4123,0.4264,0.4464,0.4709,0.7401,0.7385,0.7439,0.7549,0.7697,0.7868,1,0,1,0,1,1,,L
1101,Bethel Elementary,88,0.9685,,,0.9593,0.9855,1,0.875,1,1,0.9419,0.9416,0.9431,0.9462,0.9503,0.9548,0.9738,0.9735,0.9742,0.9756,0.9774,0.9795,1,0,0,0,0,0,,H
1103,Clyde Elementary,103,0.9583,,,0.9598,0.9888,0.9529,0.9059,0.9612,0.9848,0.9421,0.9417,0.9431,0.9461,0.9502,0.9546,0.9741,0.974,0.9748,0.9761,0.978,0.98,1,0,0,0,0,0,,H
1104,Haywood Christian Academy,17,0.7817,,,0.811,0.6471,0.8,0.9231,0.6875,0.9,0.7209,0.7195,0.7258,0.7371,0.753,0.7709,0.8853,0.8843,0.887,0.8927,0.9004,0.9089,1,0,0,0,0,0,,L
1105,Hazelwood Elementary,87,0.9677,,,0.9616,0.973,0.9467,0.9655,0.974,0.9863,0.945,0.9445,0.946,0.9489,0.9527,0.957,0.976,0.9757,0.9764,0.9777,0.9794,0.9812,1,0,0,0,0,0,,H
1106,Jonathan Valley Elementary,74,0.9553,,,0.9469,0.9592,0.88,0.9455,0.9722,1,0.9244,0.9237,0.9256,0.9295,0.9347,0.9404,0.9659,0.9658,0.9668,0.9686,0.971,0.9736,1,0,0,0,0,0,,H
1107,Junaluska Elementary,83,0.9506,,,0.9517,0.9394,0.9815,0.9036,0.9481,1,0.9307,0.9301,0.9319,0.9353,0.94,0.9453,0.969,0.9687,0.9695,0.9712,0.9734,0.9758,1,0,0,0,0,0,,H
1108,Meadowbrook Elementary,43,0.9741,,,0.9566,1,1,0.95,0.9535,1,0.9291,0.9287,0.9306,0.9343,0.9391,0.9446,0.9773,0.9772,0.9779,0.9791,0.9807,0.9825,1,0,0,0,0,0,,H
1109,North Canton Elementary,60,0.9804,,,0.9786,0.9388,0.9833,1,1,0.9778,0.9621,0.9618,0.9628,0.9648,0.9675,0.9705,0.9907,0.9906,0.9909,0.9914,0.9921,0.9928,1,0,0,0,0,0,,H
1111,Shining Rock Classical Academy,71,0.9417,,,0.9389,0.9608,0.8814,0.9155,0.9672,1,0.9114,0.9107,0.9132,0.9176,0.9236,0.9302,0.9617,0.9612,0.9622,0.9644,0.9672,0.9701,1,0,0,0,0,0,,M
