school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1114,Atkinson Elementary,56,0.8894,,,0.8896,0.9348,0.7045,0.963,0.9434,0.875,0.8549,0.8542,0.8577,0.8647,0.8739,0.8844,0.9197,0.9192,0.9213,0.9254,0.9308,0.9369,,L
1115,Bruce Drysdale Elementary,88,0.9116,,,0.9198,0.9275,0.8642,0.9048,0.8987,0.9545,0.8958,0.8948,0.8975,0.9025,0.9094,0.9172,0.9414,0.941,0.9425,0.9455,0.9496,0.9541,,M
1116,Captain Gilmer Christian School,28,0.6667,,,0.695,0.6667,0.6,0.75,0.5455,0.6429,0.605,0.6042,0.6107,0.6249,0.6438,0.6663,0.7779,0.7766,0.7813,0.7906,0.8041,0.8194,,L
1117,Clear Creek Elementary,80,0.9413,,,0.939,0.8475,0.9833,0.9459,0.9571,0.9625,0.9161,0.9153,0.9173,0.9217,0.9273,0.9337,0.9593,0.959,0.9602,0.9624,0.9652,0.9684,,M
1118,Dana Elementary,71,0.96,,,0.9563,0.9859,0.9206,0.9362,0.9851,0.9661,0.9369,0.9366,0.9384,0.9417,0.9461,0.9509,0.9722,0.9721,0.9728,0.9742,0.9762,0.9784,,H
1119,Edneyville Elementary,81,0.9176,,,0.9285,0.9661,0.9012,0.9677,0.8784,0.8824,0.9044,0.9036,0.906,0.9107,0.9171,0.9244,0.9492,0.9489,0.9503,0.9529,0.9564,0.9604,,M
1120,Etowah Elementary,54,0.9508,,,0.9569,0.9592,0.8704,0.9434,0.9796,1,0.9341,0.9336,0.9354,0.9389,0.9434,0.9484,0.9753,0.9751,0.9758,0.9772,0.979,0.9809,,H
1121,Faith-Covenant Christian Academy,5,0.8985,,,0.93,1,0.8,0.9347,0.9393,0.9446,0.8021,0.8007,0.8048,0.8135,0.8257,0.8395,0.9885,0.9883,0.9887,0.9893,0.9901,0.9911,,L
1122,FernLeaf Community Charter School,95,0.8698,,,0.8558,0.9011,0.8842,0.8615,0.8209,0.8889,0.8196,0.8185,0.8226,0.8311,0.8422,0.8548,0.8882,0.8876,0.8903,0.8958,0.9032,0.9115,,L
1123,Fletcher Elementary,83,0.9578,,,0.9656,0.9474,0.9333,0.9143,0.9867,0.988,0.9477,0.9472,0.9485,0.9512,0.9548,0.9589,0.9797,0.9796,0.9802,0.9813,0.9827,0.9843,,H
1124,Glenn C Marlow Elementary,95,0.9189,,,0.9351,0.931,0.8778,0.8876,0.9441,0.9368,0.9139,0.913,0.915,0.9193,0.9251,0.9317,0.9538,0.9533,0.9545,0.957,0.9602,0.9638,,M
1125,Hendersonville Elementary,57,0.9429,,,0.9511,0.9636,0.8772,0.9434,0.9821,0.9412,0.93,0.9291,0.9308,0.9344,0.9391,0.9445,0.9692,0.9689,0.9698,0.9714,0.9735,0.976,,M
1127,Hillandale Elementary,78,0.957,,,0.9566,0.9014,0.9574,0.9437,0.9872,1,0.9367,0.9361,0.9376,0.9409,0.9453,0.9502,0.9735,0.9732,0.974,0.9754,0.9773,0.9794,,H
1128,Imago Dei Classical Academy,10,0.7575,,,0.788,1,0.5,0.8333,0.8128,0.8571,0.6429,0.6411,0.6477,0.6607,0.6785,0.6999,0.8982,0.8972,0.8996,0.9049,0.912,0.9195,,L
1130,Mills River Elementary,102,0.9337,,,0.9313,0.9091,0.9512,0.9494,0.8617,1,0.9103,0.9095,0.9118,0.9164,0.9225,0.9293,0.9504,0.9498,0.9511,0.9537,0.9572,0.9611,,M
1136,Sugarloaf Elementary,69,0.9546,,,0.9521,0.9194,0.9375,0.9623,0.9531,1,0.93,0.9293,0.9311,0.9348,0.9396,0.945,0.9699,0.9696,0.9704,0.972,0.9741,0.9765,,H
1137,The Mountain Community Sch,22,0.9398,,,0.9389,0.9,0.95,0.95,1,0.8889,0.893,0.8923,0.8953,0.9007,0.9079,0.9159,0.9728,0.9725,0.9733,0.9747,0.9767,0.9788,,M
1138,The Way Christian Academy,16,0.8411,,,0.8407,0.875,0.8462,0.6667,1,0.75,0.751,0.7488,0.7542,0.7648,0.7792,0.7959,0.9143,0.9136,0.9155,0.9199,0.9257,0.9322,,L
1140,Upward Elementary,84,0.9021,,,0.9167,0.9667,0.875,0.8197,0.869,0.9701,0.8904,0.8896,0.8923,0.8979,0.9051,0.9132,0.9399,0.9394,0.9408,0.944,0.9482,0.9529,,M
