school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1162,American Renaissance School,141,0.9339,,,0.9248,0.9107,0.9291,0.8929,0.9798,0.9877,0.9036,0.903,0.9053,0.91,0.9165,0.9239,0.9434,0.9429,0.9444,0.9474,0.9514,0.9558,1,0,0,0,0,0,,M
1163,Calvary Chapel Academy,11,0.1839,,,0.3431,0.1429,0.1818,0.1111,0,0.4019,0.203,0.202,0.2066,0.2161,0.2301,0.248,0.5009,0.498,0.5058,0.5193,0.5398,0.5644,1,0,0,0,0,1,,L
1165,Celeste Henkel Elementary,97,0.9817,,,0.9794,1,1,0.9222,1,0.9888,0.967,0.9668,0.9676,0.9694,0.9717,0.9744,0.9891,0.989,0.9893,0.9899,0.9907,0.9915,1,0,0,0,0,0,,H
1166,Central Elementary,65,0.9808,,,0.9799,0.9545,0.9375,1,1,1,0.9641,0.9639,0.965,0.967,0.9695,0.9723,0.9911,0.991,0.9913,0.9918,0.9924,0.9931,1,0,0,0,0,0,,H
1167,Cloverleaf Elementary,86,0.9629,,,0.9654,0.9651,0.925,0.9762,0.9487,1,0.9479,0.9474,0.949,0.9519,0.9556,0.9596,0.9793,0.9792,0.9797,0.9808,0.9823,0.9839,1,0,0,0,0,0,,H
1168,Coddle Creek Elementary,130,0.9452,,,0.9382,0.9538,0.9474,0.9268,0.9468,0.9647,0.9179,0.9173,0.9194,0.9238,0.9294,0.9357,0.9558,0.9554,0.9564,0.9588,0.9619,0.9654,1,0,0,0,1,0,,M
1169,Cool Spring Elementary,83,0.9707,,,0.9684,0.9571,0.988,0.9429,0.9688,1,0.951,0.9507,0.9519,0.9543,0.9578,0.9617,0.9817,0.9815,0.982,0.983,0.9843,0.9858,1,0,0,0,0,0,,H
1170,Cornerstone Christian Academy,33,0.7633,,,0.7849,0.619,0.7881,0.7273,0.84,0.825,0.7068,0.7052,0.7111,0.723,0.7392,0.7578,0.8535,0.852,0.8554,0.8624,0.8718,0.8825,1,0,1,0,0,1,,L
1174,East Iredell Elementary,115,0.9588,,,0.9604,0.9694,0.93,0.9537,0.9391,1,0.947,0.9466,0.9481,0.9509,0.9545,0.9586,0.9722,0.9719,0.9727,0.9742,0.9762,0.9784,1,0,0,0,0,0,,H
1176,Harmony Elementary,63,0.9599,,,0.9606,0.9206,0.9474,0.96,1,0.9811,0.9396,0.9391,0.9406,0.9438,0.948,0.9527,0.9777,0.9774,0.978,0.9793,0.9809,0.9826,1,0,0,0,0,0,,H
