school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1216,American Leadership Academy - Johnston,148,0.9286,,,0.9281,0.9595,0.9172,0.9085,,,0.9017,0.9009,0.9036,0.9085,,,0.9511,0.9507,0.952,0.9545,,,1,0,0,0,,,,M
1217,Benson Elementary,129,0.9471,,,0.948,0.928,0.9528,0.907,0.9746,0.9811,0.9317,0.9313,0.933,0.9365,0.9412,0.9465,0.9614,0.961,0.9619,0.964,0.9668,0.9698,1,0,0,0,0,0,,M
1218,Cleveland Elementary,151,0.9836,,,0.9822,0.9868,0.9664,0.975,0.9921,1,0.9727,0.9725,0.9732,0.9747,0.9766,0.9788,0.9897,0.9896,0.9899,0.9904,0.9912,0.992,1,0,0,0,0,0,,H
1219,Cooper Academy,110,0.9332,,,0.9324,0.8642,0.8955,0.9615,0.913,1,0.9094,0.909,0.9112,0.9158,0.922,0.9288,0.952,0.9517,0.953,0.9555,0.9589,0.9626,1,0,0,0,0,0,,M
1220,Corinth-Holders Elementary,99,0.9747,,,0.9734,0.9596,0.9778,0.963,0.9759,1,0.9604,0.9601,0.9612,0.9632,0.9659,0.969,0.9839,0.9838,0.9842,0.9851,0.9863,0.9875,1,0,0,0,0,0,,H
1221,Dixon Road Elementary,113,0.9819,,,0.9796,0.9823,0.9712,0.9908,0.9787,0.9891,0.9684,0.9682,0.969,0.9707,0.9729,0.9754,0.9883,0.9882,0.9886,0.9892,0.99,0.991,1,0,0,0,0,0,,H
1222,East Clayton Elementary,104,0.9675,,,0.9657,0.931,0.977,0.9726,0.9615,1,0.9505,0.9502,0.9515,0.9541,0.9575,0.9614,0.978,0.9778,0.9783,0.9795,0.981,0.9828,1,0,0,0,0,0,,H
1223,Four Oaks Elementary,178,0.9497,,,0.9556,0.9659,0.9273,0.8876,0.9716,0.9937,0.9434,0.943,0.9444,0.9473,0.9512,0.9557,0.9663,0.966,0.967,0.9688,0.9711,0.9738,1,0,0,0,0,0,,M
1224,Glendale-Kenly Elementary,81,0.9687,,,0.9548,0.9577,1,0.9853,0.9753,0.9452,0.9362,0.9357,0.9373,0.9405,0.9449,0.9499,0.9703,0.9701,0.9708,0.9724,0.9746,0.9769,1,0,0,0,0,0,,H
1225,JCPS Virtual Academy,44,0.9848,,,0.9749,1,0.8,1,1,,0.939,0.9386,0.9402,0.9433,0.9476,,0.9943,0.9943,0.9944,0.9947,0.9951,,1,0,0,0,0,,,H
1226,Johnston Charter Academy,87,0.985,,,0.9719,0.9762,0.9868,0.9739,1,1,0.9536,0.9533,0.9546,0.9571,0.9604,0.964,0.9853,0.9852,0.9856,0.9864,0.9874,0.9886,1,0,0,1,0,0,,H
1228,LifeSpring Academy,29,0.859,,,0.865,0.8889,0.95,0.8148,0.7931,0.8923,0.7962,0.7952,0.7997,0.8082,0.8208,0.8351,0.921,0.9203,0.9225,0.9264,0.9318,0.9378,1,0,0,0,0,1,,L
1229,McGee's Crossroads Elem,157,0.9764,,,0.9732,0.9679,0.9635,0.9745,0.9837,1,0.9625,0.9621,0.9632,0.9651,0.9678,0.9707,0.9824,0.9822,0.9827,0.9836,0.9849,0.9863,1,0,0,0,0,0,,H
1230,Meadow School,79,0.9482,,,0.9601,0.8143,0.962,0.9873,1,0.9783,0.9428,0.9424,0.9438,0.9467,0.9507,0.9551,0.975,0.9748,0.9755,0.9768,0.9786,0.9806,1,0,0,0,0,0,,M
1231,Micro Elementary,68,0.9636,,,0.9452,1,0.9853,0.9844,0.95,0.9107,0.9204,0.9199,0.9221,0.9263,0.9315,0.9376,0.9661,0.9657,0.9666,0.9685,0.9708,0.9735,1,0,0,0,0,0,,H
