school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1256,BT Bullock Elementary,85,0.9806,,,0.9777,1,0.987,0.96,0.9882,0.9661,0.9641,0.9638,0.9649,0.9668,0.9693,0.9722,0.9882,0.9881,0.9884,0.9891,0.9899,0.9909,,H
1257,Broadway Elementary,86,0.9133,,,0.9339,0.9302,0.7683,0.8987,0.9552,1,0.9128,0.9121,0.9145,0.9189,0.9249,0.9315,0.9515,0.951,0.9523,0.955,0.9584,0.9621,,M
1258,Calvary Education Center,5,0.61,,,0.762,0.6,0.3333,0.75,0.5,0.8045,0.604,0.6015,0.6071,0.6204,0.64,0.6626,0.8932,0.8924,0.8951,0.9007,0.9078,0.9159,,L
1259,Carolina Christian Academy,2,0.9667,,,0.9071,1,1,0.9131,1,0.9259,0.7277,0.7253,0.7308,0.7421,0.7576,0.7756,0.9854,0.9853,0.9857,0.9865,0.9876,0.9887,,H
1260,Deep River Elementary,91,0.9522,,,0.9578,0.9011,0.9647,0.9359,0.9639,1,0.9414,0.941,0.9425,0.9455,0.9495,0.954,0.9714,0.9712,0.972,0.9735,0.9756,0.9778,,H
1261,Floyd L Knight Children Center,3,0.9936,,,0.9616,1,1,1,1,1,0.8846,0.8838,0.8866,0.8925,0.9,0.9084,0.9938,0.9938,0.994,0.9943,0.9947,0.9952,,H
1262,Grace Christian School,96,0.9344,,,0.9398,0.8352,0.9583,0.9759,0.9277,1,0.9168,0.9163,0.9184,0.9227,0.9282,0.9344,0.9597,0.9592,0.9603,0.9625,0.9654,0.9686,,M
1263,Greenwood Elementary,99,0.9776,,,0.9792,0.9798,0.9487,0.9452,1,1,0.9666,0.9664,0.9674,0.9691,0.9714,0.9741,0.9888,0.9887,0.9889,0.9895,0.9903,0.9912,,H
1264,J Glenn Edwards Elementary,100,0.9792,,,0.9813,0.99,0.9868,0.9545,1,0.9583,0.9693,0.9689,0.9698,0.9715,0.9737,0.9761,0.9903,0.9902,0.9905,0.991,0.9917,0.9925,,H
1265,J R Ingram Jr Elementary,74,0.9476,,,0.9605,0.8784,0.9636,0.9074,1,0.9846,0.9427,0.9423,0.9438,0.9468,0.9506,0.9551,0.9753,0.9751,0.9757,0.9771,0.9788,0.9808,,M
1266,Lee Christian School,26,0.8958,,,0.9072,1,0.8261,0.8462,0.9196,0.9266,0.8438,0.8427,0.8465,0.854,0.8638,0.8751,0.9551,0.9547,0.9559,0.9582,0.9614,0.965,,L
1267,MINA Charter School of Lee County,68,0.9892,,,0.9834,1,0.9672,1,0.9858,1,0.9645,0.9641,0.965,0.9669,0.9694,0.9722,0.995,0.995,0.9951,0.9954,0.9957,0.9961,,H
1268,Tramway Elementary,109,0.9858,,,0.9841,0.9908,0.9725,0.9674,1,1,0.9743,0.9741,0.9748,0.9761,0.9779,0.98,0.9918,0.9917,0.992,0.9924,0.993,0.9937,,H
1269,WB Wicker Elementary,106,0.9736,,,0.963,0.9479,0.9811,0.98,0.99,0.9783,0.9464,0.9459,0.9473,0.95,0.9537,0.9578,0.9765,0.9763,0.977,0.9782,0.9799,0.9818,,H
