school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1271,Arendell Parrott Academy,46,0.9744,,,0.9738,0.9762,0.9565,1,0.9487,1,0.9537,0.9531,0.9544,0.9569,0.9602,0.9638,0.9879,0.9878,0.9882,0.9888,0.9897,0.9906,,H
1272,Banks Elementary,71,0.9977,,,0.9927,1,1,1,0.9938,1,0.9842,0.984,0.9844,0.9853,0.9865,0.9877,0.9976,0.9976,0.9977,0.9978,0.998,0.9982,,H
1273,Bethel Christian Academy,43,0.9875,,,0.9847,1,0.9767,1,0.9667,1,0.9675,0.9673,0.9683,0.97,0.9723,0.9748,0.9951,0.9951,0.9952,0.9955,0.9959,0.9962,,H
1275,Contentnea-Savannah School,80,0.9769,,,0.9776,1,0.925,0.9868,0.9808,1,0.9636,0.9633,0.9641,0.966,0.9686,0.9715,0.9885,0.9883,0.9886,0.9893,0.9901,0.991,,H
1277,Hope Preparatory School,27,0.7925,,,0.8073,0.8519,0.5417,0.8189,1,0.9091,0.7143,0.7131,0.7198,0.7311,0.7468,0.7651,0.8867,0.8859,0.8887,0.8942,0.9015,0.91,,L
1278,La Grange Elementary,94,0.9748,,,0.9772,0.9524,0.9878,0.9857,0.9805,0.9681,0.9628,0.9624,0.9633,0.9652,0.9679,0.9708,0.988,0.9878,0.9882,0.9888,0.9897,0.9907,,H
1281,Moss Hill Elementary,62,0.9436,,,0.9515,0.9649,0.9839,0.871,0.9584,0.9344,0.9298,0.9295,0.9313,0.9349,0.9396,0.945,0.9694,0.9692,0.97,0.9717,0.9739,0.9763,,M
1282,Northeast Elementary,76,0.9251,,,0.9359,0.9605,0.8857,0.8841,0.9448,0.9375,0.9117,0.911,0.9132,0.9176,0.9236,0.9303,0.9571,0.9567,0.9578,0.96,0.963,0.9663,,M
1283,Northwest Elementary,95,0.9723,,,0.9699,0.9789,0.9677,0.9481,0.9742,1,0.9513,0.9509,0.9521,0.9547,0.9581,0.9619,0.984,0.9839,0.9843,0.9852,0.9864,0.9876,,H
1284,Pink Hill Elementary,81,0.9924,,,0.983,1,0.9844,1,0.9855,1,0.9684,0.9682,0.9691,0.9708,0.9731,0.9755,0.9929,0.9928,0.993,0.9934,0.9939,0.9944,,H
1285,Southeast Elementary,48,0.8965,,,0.9073,0.9167,0.9118,0.9048,0.9198,0.8056,0.8659,0.8655,0.869,0.8755,0.8841,0.8938,0.9418,0.9412,0.9429,0.9459,0.9498,0.9543,,L
1286,Southwood Elementary,39,0.9473,,,0.9585,1,0.9744,0.9444,0.9643,0.8529,0.9313,0.9308,0.9328,0.9364,0.9411,0.9462,0.9791,0.9788,0.9794,0.9805,0.9821,0.9837,,M
