school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
941,Beacon Academy,8,0.9384,,,0.942,0.75,1,1,,,0.8439,0.8424,0.8464,0.8541,,,0.9885,0.9884,0.9888,0.9894,,,,M
1287,Battleground Elementary,71,0.946,,,0.9153,0.8852,0.9718,0.9333,1,0.9815,0.887,0.8862,0.8889,0.8946,0.9021,0.9105,0.9402,0.9397,0.9413,0.9443,0.9484,0.953,,M
1288,Catawba Springs Elementary,91,0.932,,,0.9362,0.9011,0.9012,0.9186,0.9733,0.9726,0.9141,0.9137,0.916,0.9204,0.9262,0.9327,0.9548,0.9544,0.9556,0.9579,0.9612,0.9647,,M
1289,Childers Elementary,83,0.9467,,,0.9422,1,0.9138,0.86,0.9518,1,0.9187,0.9181,0.9202,0.9242,0.9297,0.9359,0.9622,0.9618,0.9628,0.9648,0.9675,0.9704,,M
1290,Denver Christian Academy,33,0.6807,,,0.684,0.6061,0.64,0.7727,0.7171,0.7367,0.5895,0.5876,0.5939,0.6077,0.627,0.65,0.7708,0.7695,0.7742,0.7843,0.7983,0.8138,,L
1291,GE Massey Elementary,61,0.9454,,,0.942,0.8235,0.9388,0.9636,0.9836,0.9756,0.9151,0.9145,0.9166,0.9211,0.9267,0.9331,0.9643,0.964,0.9649,0.9667,0.9692,0.972,,M
1292,Iron Station Elementary,62,0.9472,,,0.9415,0.8727,0.9667,0.9825,0.9677,0.9464,0.9182,0.9175,0.9196,0.9238,0.9294,0.9357,0.9615,0.9612,0.9623,0.9643,0.967,0.97,,M
1294,Lincoln Charter School,135,0.9483,,,0.9437,0.9259,0.947,0.9248,0.9504,1,0.9262,0.9256,0.9276,0.9315,0.9365,0.9421,0.9592,0.9588,0.96,0.9622,0.9651,0.9683,,M
1295,Lincoln Christian Academy,24,0.6137,,,0.6504,0.8261,0.375,,,,0.5153,0.5132,0.5214,,,,0.7716,0.77,0.7746,,,,,L
1296,Love Memorial Elementary,51,0.969,,,0.955,0.9412,0.9535,0.9792,1,1,0.9299,0.9294,0.9312,0.9348,0.9396,0.945,0.9746,0.9744,0.9751,0.9764,0.9782,0.9802,,H
1297,North Brook Elementary,60,0.8948,,,0.9116,0.9483,0.5217,0.95,0.9825,0.9818,0.8826,0.8816,0.8845,0.8903,0.898,0.9067,0.9365,0.9362,0.938,0.9413,0.9457,0.9506,,L
1298,Pumpkin Center Primary,102,0.9378,,,0.9375,0.9462,0.8933,0.8958,0.9882,0.9608,0.9181,0.9176,0.9198,0.9241,0.9297,0.9358,0.9552,0.9549,0.9562,0.9584,0.9615,0.965,,M
1300,Rock Springs Elementary,108,0.9449,,,0.9524,0.8932,0.96,0.9444,0.9615,0.9655,0.9342,0.9336,0.9353,0.9388,0.9434,0.9485,0.9676,0.9673,0.9683,0.9701,0.9724,0.975,,M
1301,S Ray Lowder Elementary,60,0.9555,,,0.9587,0.8864,0.9583,0.9455,0.9833,1,0.9357,0.9351,0.9366,0.9398,0.9443,0.9494,0.9773,0.9771,0.9777,0.9789,0.9805,0.9823,,H
1302,St James Elementary,105,0.9453,,,0.9455,0.8929,0.9619,0.914,0.9651,0.9888,0.9273,0.9267,0.9286,0.9324,0.9373,0.9429,0.9615,0.9612,0.9623,0.9644,0.9671,0.97,,M
1303,Starboard Christian Academy,17,0.6508,,,0.6735,0.5882,0.6875,0.5455,0.707,0.7268,0.5479,0.5456,0.5527,0.5677,0.5878,0.6117,0.7914,0.7902,0.7948,0.8038,0.8161,0.8304,,L
1304,Union Elementary,58,0.9584,,,0.9596,0.9216,0.9286,0.9623,1,0.9778,0.9372,0.9369,0.9386,0.9419,0.9462,0.951,0.9769,0.9767,0.9774,0.9786,0.9803,0.9821,,H
1305,West Lake Preparatory Academy,90,0.8777,,,0.8815,0.8793,0.8596,0.7581,0.9111,1,0.8439,0.8427,0.8465,0.8539,0.8636,0.8749,0.9145,0.9138,0.916,0.9203,0.9261,0.9328,,L
