school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1335,ALC Mosaic,6,0.4351,,,0.4924,0.5,0.2,0.2,0.75,0.5547,0.3189,0.3177,0.3243,0.3379,0.3565,0.3796,0.6696,0.668,0.6741,0.6869,0.7043,0.7248,1,0,0,0,0,1,,L
1337,Albemarle Road Elementary,134,0.9603,,,0.9601,0.9722,0.9304,0.963,0.9658,0.9689,0.9416,0.9411,0.9427,0.9457,0.9497,0.9542,0.9749,0.9748,0.9755,0.9769,0.9786,0.9806,1,0,0,1,1,1,,H
1338,Allenbrook Elementary,51,0.951,,,0.9577,1,0.9118,0.9667,0.8462,1,0.9346,0.9338,0.9355,0.9389,0.9434,0.9485,0.9762,0.976,0.9767,0.9779,0.9796,0.9815,1,0,0,0,0,0,,H
1339,Aristotle Preparatory Academy: A Challenge Foundation Academ,44,0.9364,,,0.9344,0.8864,1,1,0.9434,0.9485,0.8773,0.876,0.8789,0.8851,0.8932,0.9023,0.973,0.9727,0.9735,0.9749,0.9768,0.979,1,0,0,0,1,1,,M
1340,Anami Montessori School,13,0.8239,,,0.8334,1,0.8462,0.625,0.625,1,0.7395,0.739,0.745,0.7556,0.7703,0.7871,0.909,0.9081,0.9105,0.915,0.921,0.9279,1,0,0,0,0,0,,L
1341,Arlington Christian Academy,15,0.6099,,,0.6784,0.6667,0.375,,,,0.4953,0.4934,0.5011,,,,0.8308,0.8303,0.8342,,,,1,0,0,,,,,L
1342,Ashley Park PreK-8 School,27,0.9643,,,0.9641,0.9231,0.9615,0.9667,0.9692,1,0.9355,0.9349,0.9363,0.9397,0.9442,0.9492,0.9852,0.9851,0.9854,0.9863,0.9873,0.9885,1,0,0,1,1,0,,H
1343,Back Creek Christian Academy,13,0.9369,,,0.9559,0.8333,0.9567,0.959,0.9231,1,0.9077,0.9068,0.9094,0.914,0.9201,0.9271,0.9857,0.9856,0.986,0.9867,0.9878,0.9889,1,0,1,1,0,0,,M
1344,Bain Elementary,170,0.9517,,,0.9413,0.945,0.9048,0.925,0.9645,1,0.9244,0.9238,0.9258,0.9296,0.9348,0.9405,0.9564,0.9561,0.9572,0.9595,0.9625,0.966,1,0,0,0,0,0,,H
1346,Barnette Elementary,132,0.9706,,,0.9627,0.938,0.984,0.9545,0.9917,1,0.9491,0.9489,0.9502,0.9528,0.9565,0.9605,0.9741,0.9739,0.9745,0.9759,0.9777,0.9798,1,0,0,0,0,0,,H
1347,Charles H. Parker Academic Center,76,0.9467,,,0.9568,0.9531,0.9474,0.9048,0.95,0.9663,0.9373,0.9373,0.9389,0.9422,0.9466,0.9513,0.9729,0.9727,0.9733,0.9748,0.9767,0.9789,1,0,0,0,0,1,,M
1351,Beverly Woods Elementary,105,0.9746,,,0.9736,0.95,0.9714,0.9755,0.9774,1,0.9597,0.9594,0.9605,0.9627,0.9655,0.9687,0.985,0.9848,0.9853,0.9861,0.9872,0.9884,1,0,0,1,1,0,,H
1352,Matthews Christian Academy,20,0.7688,,,0.817,0.65,0.7778,0.9231,0.7143,0.7692,0.7401,0.7391,0.7446,0.7558,0.7707,0.7879,0.8812,0.8799,0.8827,0.8882,0.8961,0.9049,1,0,0,0,0,0,,L
1353,Billingsville Elementary,133,0.9787,,,0.9769,0.9908,0.9699,0.9786,0.959,1,0.9635,0.9632,0.9642,0.9662,0.9688,0.9717,0.987,0.9869,0.9872,0.9879,0.9889,0.9899,1,0,0,1,0,0,,H
1355,Bonnie Cone Classical Academy,195,0.9293,,,0.9267,0.8944,0.9114,0.9828,0.9167,0.9385,0.9055,0.9047,0.9068,0.9117,0.9181,0.9252,0.9466,0.9459,0.9473,0.9501,0.9538,0.958,1,0,0,0,0,0,,M
1356,Bonnie Cone Leadership Academy,116,0.9337,,,0.9332,0.9569,0.9099,,,,0.9001,0.8992,0.9016,,,,0.9598,0.9594,0.9603,,,,1,0,0,,,,,M
