school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1590,Aberdeen Elementary,110,0.9828,,,0.9796,0.9909,0.9406,1,0.9825,1,0.9643,0.9639,0.9649,0.9668,0.9693,0.9722,0.9904,0.9903,0.9906,0.9911,0.9918,0.9926,1,0,0,0,1,0,,H
1592,Calvary Christian School,17,0.9158,,,0.9157,0.8824,0.9172,0.9214,0.927,0.9333,0.8117,0.8111,0.8153,0.8243,0.8357,0.8487,0.9763,0.976,0.9767,0.978,0.9798,0.9816,1,0,1,1,1,1,,M
1593,Cameron Elementary,49,0.989,,,0.9857,0.9697,0.9762,1,1,1,0.9706,0.9704,0.9712,0.9728,0.975,0.9772,0.9952,0.9952,0.9953,0.9956,0.9959,0.9963,1,0,0,0,0,0,,H
1594,Carthage Elementary,58,0.9851,,,0.9851,0.9811,0.9821,1,1,0.9655,0.9717,0.9715,0.9722,0.9738,0.9758,0.978,0.9941,0.994,0.9942,0.9945,0.995,0.9954,1,0,0,0,0,0,,H
1595,Connect Academy,25,0.8125,,,0.8385,0.75,0.8,1,,,0.7213,0.7204,0.7264,0.7379,,,0.9235,0.923,0.925,0.9289,,,1,0,0,0,,,,L
1596,Covenant Preparatory School,15,0.7532,,,0.7446,0.6667,0.6,0.7333,0.7735,1,0.6535,0.652,0.6586,0.6715,0.6893,0.71,0.8256,0.8249,0.8293,0.8376,0.8485,0.8608,1,0,0,0,1,0,,L
1597,Episcopal Day School,40,0.9706,,,0.9707,0.875,1,1,0.9677,1,0.9463,0.9459,0.9472,0.95,0.9538,0.958,0.9882,0.9881,0.9884,0.9891,0.9899,0.9908,1,0,0,0,0,0,,H
1598,Fellowship Christian Academy,32,0.8772,,,0.8727,0.7333,0.9062,0.9655,0.9286,0.8986,0.8086,0.8067,0.8115,0.8204,0.8323,0.8454,0.9243,0.9237,0.9257,0.9296,0.9347,0.9404,1,0,0,0,0,1,,L
1601,McDeeds Creek Elementary,116,0.9692,,,0.9667,0.9741,0.9821,0.9286,0.9715,1,0.9487,0.9483,0.9496,0.9524,0.9559,0.9599,0.98,0.9798,0.9804,0.9815,0.9829,0.9845,1,0,0,0,1,0,,H
1602,Moore Montessori Community School,51,0.9012,,,0.8732,0.86,0.8753,0.9216,0.8898,1,0.8195,0.8183,0.8224,0.831,0.8421,0.8548,0.9163,0.9159,0.9184,0.9227,0.9282,0.9346,1,0,1,0,1,0,,M
1603,O'Neal School,42,0.9587,,,0.9606,1,0.8929,0.9487,1,0.9286,0.9315,0.9309,0.9329,0.9365,0.9413,0.9464,0.9815,0.9813,0.9819,0.9829,0.9842,0.9856,1,0,0,0,0,0,,H
1604,Pinehurst Elementary,106,0.986,,,0.9831,1,0.9811,0.963,0.9855,1,0.9714,0.9712,0.972,0.9736,0.9756,0.9779,0.9914,0.9913,0.9916,0.992,0.9927,0.9933,1,0,0,0,1,0,,H
1605,Robbins Elementary,65,0.993,,,0.9907,0.9839,1,1,1,0.9821,0.9811,0.981,0.9815,0.9825,0.9838,0.9853,0.9968,0.9968,0.9968,0.997,0.9972,0.9975,1,0,0,0,0,0,,H
1606,STARS Charter,92,0.9758,,,0.973,0.9891,0.9643,,,,0.9469,0.9468,0.9483,,,,0.9897,0.9896,0.9899,,,,1,0,0,,,,,H
1607,Sandhills Classical Christian Sch.,54,0.8559,,,0.8633,0.8085,0.9444,0.76,0.881,0.891,0.8124,0.811,0.8156,0.8245,0.836,0.8491,0.9068,0.9062,0.9086,0.9134,0.9197,0.9267,1,0,0,0,1,1,,L
1608,Sandhills Farm Life Elementary,71,0.9739,,,0.979,0.9538,1,0.9437,0.982,1,0.9644,0.9641,0.965,0.9669,0.9694,0.9722,0.99,0.99,0.9903,0.9908,0.9915,0.9923,1,0,0,0,1,0,,H
1611,Southern Pines Elementary,106,0.9763,,,0.9736,0.9891,0.9677,0.9495,1,,0.9549,0.9545,0.9558,0.9583,0.9614,,0.9871,0.987,0.9873,0.988,0.989,,1,0,0,0,0,,,H
1613,St. John Paul II Catholic School,26,0.8353,,,0.8616,1,0.8333,0.5769,0.8333,1,0.7941,0.7926,0.7976,0.8067,0.819,0.8332,0.9178,0.9169,0.9188,0.9232,0.9287,0.935,1,0,0,0,0,0,,L
1614,The Academy of Moore County,113,0.9722,,,0.9703,0.956,0.9775,0.961,0.9615,1,0.955,0.9548,0.9559,0.9583,0.9614,0.9649,0.9825,0.9823,0.9828,0.9838,0.985,0.9864,1,0,0,0,0,0,,H
1615,Vass-Lakeview Elementary,77,0.9697,,,0.9744,0.942,0.9565,0.9429,1,1,0.9606,0.9603,0.9614,0.9635,0.9662,0.9693,0.9854,0.9852,0.9856,0.9864,0.9875,0.9886,1,0,0,0,0,0,,H
1616,West End Elementary,68,0.9683,,,0.9731,0.9792,0.9048,0.98,0.9769,1,0.9565,0.9561,0.9574,0.9597,0.9628,0.9662,0.9856,0.9855,0.9858,0.9866,0.9876,0.9888,1,0,0,0,1,0,,H
1617,West Pine Elementary,79,0.9668,,,0.9645,0.9524,0.9048,1,0.9692,1,0.9476,0.9472,0.9486,0.9514,0.955,0.9591,0.9783,0.978,0.9786,0.9798,0.9814,0.9831,1,0,0,0,0,0,,H
1618,Westmoore Elementary,35,0.9908,,,0.9854,0.96,1,1,1,1,0.9679,0.9678,0.9687,0.9705,0.9727,0.9753,0.9956,0.9955,0.9956,0.9959,0.9962,0.9966,1,0,0,0,0,0,,H
