school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1619,Bailey Elementary,98,0.9679,,,0.9662,0.9884,0.9796,0.9684,0.9884,0.9079,0.9503,0.9499,0.9514,0.954,0.9574,0.9613,0.9796,0.9794,0.9799,0.981,0.9824,0.984,1,0,0,0,0,0,,H
1621,Benvenue Elementary,105,0.9426,,,0.9415,0.9213,0.8632,0.981,1,0.9479,0.9223,0.9216,0.9236,0.9275,0.9329,0.9388,0.9583,0.958,0.9591,0.9613,0.9642,0.9675,1,0,0,0,0,0,,M
1623,Coopers Elementary,98,0.9985,,,0.9899,1,1,1,1,1,0.9812,0.981,0.9816,0.9826,0.984,0.9855,0.9959,0.9959,0.996,0.9962,0.9965,0.9968,1,0,0,0,0,0,,H
1624,Englewood Bapt. Weekday Sch.,8,0.9739,,,0.9647,1,0.9653,0.9672,0.9696,0.9724,0.8919,0.8908,0.8936,0.8991,0.9062,0.9143,0.9946,0.9945,0.9947,0.995,0.9953,0.9958,1,0,1,1,1,1,,H
1628,Faith Christian School,35,0.964,,,0.9699,0.9429,0.9688,0.96,1,0.9444,0.9437,0.9431,0.9445,0.9475,0.9515,0.9559,0.9882,0.9881,0.9884,0.9891,0.9899,0.9909,1,0,0,0,0,0,,H
1631,M B Hubbard Elementary,73,0.9105,,,0.9217,0.9859,0.9831,1,0.6575,0.9583,0.8952,0.8944,0.8968,0.9021,0.909,0.917,0.9451,0.9445,0.9459,0.9488,0.9527,0.9569,1,0,0,0,0,0,,M
1632,Middlesex Elementary,56,0.9763,,,0.9675,1,1,0.9,1,0.9524,0.9463,0.9459,0.9473,0.95,0.9539,0.958,0.9834,0.9832,0.9836,0.9845,0.9857,0.9871,1,0,0,0,0,0,,H
1633,Nashville Elementary,119,0.9513,,,0.9572,0.9798,0.958,0.9304,0.9556,0.9293,0.9424,0.9419,0.9433,0.9463,0.9503,0.9549,0.9703,0.9702,0.9709,0.9725,0.9746,0.977,1,0,0,0,0,0,,H
1634,New Life Christian Academy,30,0.9964,,,0.9865,1,1,1,1,0.9895,0.966,0.9657,0.9667,0.9686,0.971,0.9737,0.9967,0.9967,0.9968,0.997,0.9972,0.9975,1,0,0,0,0,1,,H
1635,Our Lady Perpetual Help Cath Sch,15,0.9592,,,0.9595,0.9333,0.9333,1,0.9652,0.9684,0.909,0.9077,0.9098,0.9145,0.9207,0.9275,0.9893,0.9892,0.9895,0.99,0.9908,0.9917,1,0,0,0,1,1,,H
1637,Red Oak Elementary,113,0.9663,,,0.9683,0.9636,0.9646,0.92,0.9853,1,0.9531,0.9527,0.954,0.9564,0.9597,0.9633,0.9803,0.9802,0.9808,0.9819,0.9833,0.9848,1,0,0,0,0,0,,H
1638,Rocky Mount Academy,33,0.9772,,,0.9731,0.9655,0.9167,1,1,1,0.9463,0.946,0.9474,0.9501,0.9538,0.9579,0.9902,0.9901,0.9904,0.9909,0.9916,0.9924,1,0,0,0,0,0,,H
1639,Rocky Mount Preparatory,74,0.9736,,,0.9777,0.9273,0.9722,0.9706,1,0.9841,0.9633,0.963,0.964,0.966,0.9686,0.9715,0.9882,0.9881,0.9884,0.9891,0.9899,0.9908,1,0,0,0,0,0,,H
1640,Southside Academy,14,0.9263,,,0.9334,1,0.8571,,,,0.8432,0.8422,0.8459,,,,0.9834,0.9832,0.9838,,,,1,0,0,,,,,M
1641,Spring Hope Elementary,61,0.9379,,,0.9414,1,0.9322,0.7959,0.9815,0.9672,0.9174,0.9168,0.9191,0.9232,0.9288,0.9351,0.9615,0.9613,0.9623,0.9644,0.9672,0.9701,1,0,0,0,0,0,,M
1642,St. Andrew's Episcopal School,8,0.9926,,,0.9752,1,1,1,1,0.9807,0.9319,0.9311,0.9325,0.9358,0.9405,0.9457,0.9951,0.9951,0.9952,0.9955,0.9958,0.9962,1,0,0,0,0,1,,H
1644,Winstead Avenue Elementary,177,0.964,,,0.9603,0.9902,0.9815,0.9435,0.9748,0.9438,0.948,0.9477,0.949,0.9519,0.9555,0.9596,0.9713,0.971,0.9718,0.9734,0.9754,0.9777,1,0,0,0,0,0,,H
