school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1645,A H Snipes Academy of Arts/Des,64,0.9717,,,0.9637,0.963,0.9644,0.9663,0.9689,1,0.9342,0.9338,0.9357,0.9391,0.9437,0.9487,0.9841,0.9839,0.9844,0.9852,0.9864,0.9876,1,0,1,1,1,0,,H
1647,Bradley Creek Elementary,63,0.9769,,,0.9746,0.973,1,0.9149,0.9839,1,0.9577,0.9574,0.9583,0.9606,0.9635,0.9669,0.9875,0.9873,0.9877,0.9884,0.9892,0.9903,1,0,0,0,0,0,,H
1649,Cape Fear Academy,48,0.9655,,,0.968,0.9167,0.9778,0.9703,0.9726,1,0.9404,0.9399,0.9414,0.9447,0.9487,0.9533,0.9865,0.9864,0.9868,0.9875,0.9885,0.9895,1,0,0,1,1,0,,H
1650,Cape Fear Center for Inquiry,40,0.9573,,,0.948,0.9744,0.95,0.95,0.975,0.9459,0.9166,0.9159,0.9181,0.9223,0.9279,0.9342,0.9714,0.9711,0.9719,0.9733,0.9754,0.9777,1,0,0,0,0,0,,H
1653,Classical Charter Schools of Wilmington,30,0.9639,,,0.9663,0.9667,0.9231,0.9545,0.9711,1,0.9379,0.9375,0.9392,0.9423,0.9467,0.9514,0.9859,0.9857,0.9861,0.9868,0.9878,0.989,1,0,0,0,1,0,,H
1656,D.C. Virgo Preparatory Academy,26,0.972,,,0.9678,0.9167,0.9412,1,0.9724,1,0.9294,0.9288,0.931,0.9346,0.9394,0.9447,0.9903,0.9902,0.9905,0.991,0.9917,0.9924,1,0,0,0,1,0,,H
1657,Dr Hubert Eaton Sr Elem,91,0.9764,,,0.9701,0.978,0.9878,0.9881,0.9359,1,0.9553,0.9549,0.9562,0.9585,0.9617,0.9652,0.9817,0.9816,0.9821,0.9831,0.9844,0.9858,1,0,0,0,0,0,,H
1658,Dr John Codington Elem,81,0.9728,,,0.9712,0.9506,0.9718,0.9589,0.9867,1,0.9545,0.9542,0.9554,0.9579,0.9611,0.9647,0.9845,0.9844,0.9848,0.9857,0.9868,0.988,1,0,1,0,0,0,,H
1660,Edwin A Alderman Elementary,50,0.9421,,,0.9445,0.9474,0.9455,0.88,0.9523,1,0.9121,0.9116,0.9139,0.9183,0.9242,0.9309,0.9697,0.9694,0.9703,0.9719,0.9741,0.9764,1,0,1,0,1,0,,M
1661,Edwin A Anderson Elementary,99,0.9775,,,0.9679,0.9821,0.9875,0.9697,0.9725,0.9865,0.9506,0.9503,0.9516,0.9542,0.9577,0.9615,0.9815,0.9814,0.9819,0.983,0.9842,0.9857,1,0,0,0,1,0,,H
1663,Friends School of Wilmington,18,0.9151,,,0.9198,0.9167,1,1,0.7778,0.9375,0.8584,0.8572,0.8606,0.8671,0.8763,0.8865,0.9638,0.9634,0.9644,0.9664,0.9689,0.9718,1,0,0,0,0,0,,M
1666,Heyward C Bellamy Elem,84,0.9747,,,0.9714,0.9583,0.9881,0.9756,0.9755,0.9778,0.9483,0.9478,0.949,0.9518,0.9554,0.9595,0.9874,0.9873,0.9876,0.9883,0.9892,0.9902,1,0,0,0,1,1,,H
1667,Holly Tree Elementary,67,0.9818,,,0.9765,1,0.9403,0.9844,1,1,0.9608,0.9607,0.9617,0.9638,0.9665,0.9696,0.9888,0.9886,0.9889,0.9895,0.9904,0.9912,1,0,0,0,0,0,,H
1670,Island Montessori Charter School,27,0.8649,,,0.8667,0.8889,0.8148,0.8519,0.884,0.8846,0.8082,0.8068,0.8113,0.8202,0.8318,0.8452,0.9167,0.9162,0.9184,0.9227,0.9284,0.9347,1,0,0,0,1,0,,L
1671,John J Blair Elementary,81,0.9694,,,0.9592,0.9423,0.9833,0.971,0.9853,0.9682,0.938,0.9375,0.9392,0.9424,0.9466,0.9513,0.9765,0.9762,0.9769,0.9782,0.9799,0.9817,1,0,0,0,0,1,,H
1672,Lake Forest Academy,1,0.9832,,,0.9496,1,0.9504,0.953,0.9564,1,0.8347,0.8346,0.8382,0.8453,0.8557,0.8675,0.993,0.9929,0.9931,0.9935,0.9939,0.9944,1,0,1,1,1,0,,H
1673,Mary C Williams Elementary,69,0.9742,,,0.9635,1,0.9524,0.9464,1,0.98,0.9446,0.9443,0.9457,0.9485,0.9522,0.9565,0.9781,0.978,0.9786,0.9798,0.9814,0.9831,1,0,0,0,0,0,,H
1674,Masonboro Elementary,101,0.9706,,,0.9704,0.9265,0.9474,0.9901,0.973,1,0.9558,0.9555,0.9567,0.959,0.9621,0.9655,0.9827,0.9826,0.9831,0.984,0.9852,0.9866,1,0,0,0,0,0,,H
1675,Murrayville Elementary,94,0.9828,,,0.9763,1,0.9681,0.9681,0.9882,1,0.9628,0.9625,0.9635,0.9656,0.9682,0.9711,0.9865,0.9864,0.9867,0.9875,0.9885,0.9895,1,0,0,0,0,0,,H
1676,Myrtle Grove Christian School,47,0.9534,,,0.9364,0.9787,0.9143,0.9412,0.9452,1,0.9008,0.8998,0.9022,0.9071,0.9137,0.9213,0.965,0.9646,0.9655,0.9674,0.9699,0.9726,1,0,0,0,1,0,,H
1677,New Horizons Elem. School,18,0.962,,,0.9396,0.9444,1,0.9438,0.9444,1,0.888,0.8871,0.8897,0.8953,0.9026,0.911,0.9754,0.9751,0.9758,0.9771,0.9789,0.9809,1,0,0,1,0,0,,H
1678,Northside School of Christian Leadersip,11,0.7642,,,0.7901,0.7273,0.7778,,,,0.6176,0.6166,0.6228,,,,0.9178,0.9168,0.9187,,,,1,0,0,,,,,L
1680,Ogden Elementary,109,0.9776,,,0.9784,0.9479,0.9884,0.9725,0.981,1,0.9664,0.966,0.9668,0.9686,0.971,0.9736,0.988,0.9879,0.9882,0.9888,0.9897,0.9906,1,0,0,0,0,0,,H
