school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1705,Bell Fork Elementary,97,0.9353,,,0.9243,0.9588,0.8977,0.9255,0.9347,0.9744,0.9017,0.901,0.9035,0.9084,0.915,0.9224,0.9446,0.944,0.9454,0.9485,0.9524,0.9566,1,0,0,0,1,0,,M
1706,Blue Creek Elementary,94,0.9645,,,0.9596,1,0.974,0.9255,0.9653,0.9655,0.9395,0.9391,0.9406,0.9438,0.9479,0.9526,0.9756,0.9753,0.9759,0.9773,0.979,0.981,1,0,0,0,1,0,,H
1708,Carolina Forest Elementary,107,0.8195,,,0.8349,0.5607,0.9346,0.932,0.8557,0.8052,0.807,0.806,0.8105,0.8192,0.831,0.8444,0.8604,0.8595,0.8629,0.8695,0.8786,0.8888,1,0,0,0,1,0,,L
1710,Clyde Erwin Elementary,66,0.9264,,,0.9157,1,0.8958,0.9242,0.8364,1,0.889,0.8881,0.8909,0.8965,0.9038,0.9121,0.9385,0.938,0.9397,0.9428,0.947,0.9518,1,0,0,0,0,0,,M
1711,Coastal Elementary,153,0.8592,,,0.8586,0.9007,0.9214,0.7647,,,0.8237,0.822,0.8263,0.8344,,,0.8901,0.8893,0.892,0.8974,,,1,0,0,0,,,,L
1712,Dixon Elementary,193,0.9377,,,0.9482,0.916,0.9074,0.843,0.9771,0.9948,0.9341,0.9336,0.9353,0.9387,0.9431,0.9482,0.9609,0.9605,0.9615,0.9636,0.9664,0.9694,1,0,0,0,0,0,,M
1715,Grace Classical School,21,0.6576,,,0.6793,0.5714,0.5333,0.6667,0.7126,1,0.5765,0.5746,0.5816,0.5956,0.6153,0.6386,0.7783,0.7768,0.782,0.7917,0.8046,0.8196,1,0,0,0,1,0,,L
1716,Heritage Elementary School,105,0.9574,,,0.9623,0.9691,0.9221,0.9186,0.9676,0.9905,0.949,0.9487,0.9501,0.9528,0.9564,0.9603,0.9739,0.9737,0.9744,0.9757,0.9776,0.9797,1,0,0,0,1,0,,H
1717,Hunters Creek Elementary,124,0.9656,,,0.9562,0.9451,0.9829,0.9919,0.9649,0.9315,0.9397,0.9394,0.941,0.9441,0.9482,0.9529,0.9706,0.9702,0.971,0.9726,0.9747,0.977,1,0,0,0,0,0,,H
1718,Infant of Prague Catholic School,43,0.961,,,0.9539,0.8974,1,0.9677,1,0.9583,0.9209,0.9203,0.9223,0.9263,0.9318,0.9379,0.9775,0.9773,0.9779,0.9791,0.9807,0.9825,1,0,0,0,0,0,,H
1719,Jacksonville Christian Academy,30,0.7542,,,0.7526,0.7,0.7562,0.7666,0.7808,0.7826,0.6608,0.6589,0.6654,0.6783,0.6962,0.7167,0.8329,0.832,0.8358,0.8437,0.8542,0.866,1,0,1,1,1,0,,L
1720,Jacksonville Commons Elem,81,0.9341,,,0.9442,0.9383,0.8272,0.9459,0.9872,0.9706,0.925,0.9247,0.9267,0.9306,0.9357,0.9414,0.9608,0.9605,0.9616,0.9637,0.9665,0.9695,1,0,0,0,0,0,,M
1721,Liberty Christian Academy,50,0.9098,,,0.9116,0.878,0.88,0.94,0.9348,0.9118,0.8724,0.8716,0.8746,0.8807,0.8889,0.8984,0.9446,0.944,0.9454,0.9483,0.9523,0.9566,1,0,0,0,0,0,,M
