school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1744,Carolina Friends School,31,0.9475,,,0.9332,0.9524,0.9655,0.9667,0.9355,0.8889,0.8873,0.8868,0.8898,0.8951,0.9027,0.9111,0.967,0.9667,0.9675,0.9692,0.9715,0.9741,,M
1745,Carrboro Elementary,78,0.981,,,0.9612,1,1,0.9615,0.9667,1,0.9404,0.9399,0.9416,0.9447,0.9488,0.9534,0.978,0.9778,0.9783,0.9795,0.9811,0.9828,,H
1746,Central Elementary,52,0.9638,,,0.9539,1,0.9388,1,0.9808,0.9111,0.9287,0.9281,0.93,0.9336,0.9384,0.944,0.9743,0.9741,0.9748,0.9761,0.978,0.98,,H
1747,Efland Cheeks Elementary,84,0.9492,,,0.9512,0.9737,0.96,0.9405,0.9079,0.9619,0.9307,0.9302,0.9321,0.9357,0.9404,0.9458,0.9685,0.9682,0.9691,0.9708,0.9731,0.9756,,M
1748,Seawell Elementary,58,0.9761,,,0.9696,1,1,0.9111,0.9739,1,0.9498,0.9494,0.9508,0.9534,0.957,0.9609,0.9845,0.9844,0.9848,0.9856,0.9868,0.988,,H
1749,Emerson Waldorf School,53,0.7574,,,0.7362,0.625,0.76,0.717,0.8333,0.8182,0.678,0.6768,0.683,0.6957,0.7128,0.7328,0.7917,0.7897,0.7941,0.8041,0.8167,0.8309,,L
1750,Eno River Academy,41,0.976,,,0.9774,0.9487,0.9512,1,0.9807,1,0.9571,0.9568,0.9581,0.9605,0.9636,0.9669,0.991,0.9909,0.9912,0.9916,0.9923,0.993,,H
1751,Ephesus Elementary,63,0.9786,,,0.9749,0.9811,0.9792,0.9767,0.9785,0.9805,0.9512,0.951,0.9522,0.9548,0.9582,0.962,0.9904,0.9903,0.9905,0.9911,0.9918,0.9925,,H
1753,FPG Elementary,96,0.994,,,0.9868,1,1,0.9878,0.9885,1,0.9764,0.9762,0.9768,0.978,0.9797,0.9816,0.9942,0.9942,0.9943,0.9946,0.995,0.9955,,H
1754,Glenwood Elementary,79,0.9839,,,0.9771,1,1,0.9333,1,1,0.9615,0.9611,0.9621,0.9642,0.9669,0.9699,0.9884,0.9883,0.9886,0.9893,0.9901,0.9911,,H
1755,Grady Brown Elementary,65,0.9761,,,0.976,1,0.9764,0.9538,1,0.9538,0.9586,0.9584,0.9595,0.9616,0.9646,0.9678,0.9891,0.989,0.9894,0.99,0.9907,0.9915,,H
1757,Hillsborough Elementary,74,0.9804,,,0.9806,0.9861,0.9861,0.9722,0.9722,0.9849,0.9646,0.9643,0.9651,0.967,0.9695,0.9724,0.9913,0.9912,0.9914,0.9919,0.9926,0.9933,,H
1762,Montessori Day School,11,0.9806,,,0.9409,1,1,0.945,1,1,0.8713,0.8709,0.874,0.8802,0.8886,0.898,0.983,0.9829,0.9835,0.9844,0.9856,0.9869,,H
1764,Morris Grove Elementary,59,0.9849,,,0.9837,1,0.9524,0.9661,1,1,0.9706,0.9705,0.9713,0.9728,0.9749,0.9772,0.9929,0.9929,0.9931,0.9934,0.9939,0.9944,,H
1765,New Hope Elementary,92,0.9703,,,0.9696,0.9437,0.9333,0.978,0.9891,1,0.9541,0.9537,0.9549,0.9574,0.9605,0.9641,0.9821,0.982,0.9825,0.9834,0.9847,0.9861,,H
1770,Pathways Elementary,56,0.9604,,,0.9523,0.9821,1,0.9535,0.9524,0.9216,0.9262,0.9258,0.9278,0.9315,0.9365,0.9421,0.973,0.9728,0.9736,0.9751,0.977,0.9791,,H
1771,Pinewoods Montessori School,21,0.9449,,,0.9246,0.9333,1,0.9474,0.9349,0.9406,0.8583,0.8569,0.86,0.8672,0.8765,0.8869,0.9692,0.969,0.9698,0.9714,0.9736,0.976,,M
1772,River Park Elementary,75,0.9842,,,0.9804,1,0.9714,,,,0.9562,0.9561,0.9573,,,,0.9941,0.994,0.9942,,,,,H
1773,Scroggs Elementary,51,0.9919,,,0.9864,1,1,0.9874,0.9883,0.9894,0.9645,0.9643,0.9652,0.9672,0.9696,0.9724,0.9972,0.9972,0.9973,0.9974,0.9976,0.9979,,H
1774,St. Thomas More Catholic School,36,0.9926,,,0.9873,1,0.9876,1,0.9892,0.9902,0.9658,0.9654,0.9662,0.9681,0.9705,0.9733,0.9973,0.9973,0.9974,0.9975,0.9977,0.9979,,H
1775,The Expedition School,40,0.9766,,,0.9616,0.975,0.9487,1,1,0.9737,0.9351,0.9346,0.9364,0.9398,0.9444,0.9493,0.981,0.9809,0.9814,0.9825,0.9838,0.9853,,H
