school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1781,Albemarle School,35,0.9651,,,0.9626,0.9032,1,1,0.9679,0.9708,0.9263,0.9257,0.9278,0.9317,0.9366,0.9422,0.9868,0.9867,0.987,0.9877,0.9887,0.9897,,H
1782,Central Elementary,103,0.9656,,,0.9644,0.9612,0.9483,0.9615,0.9694,1,0.9441,0.9436,0.9451,0.948,0.9518,0.9561,0.9808,0.9806,0.9812,0.9822,0.9836,0.9851,,H
1783,Covenant Classical Academy,9,0.2443,,,0.3995,0,0.3333,,,,0.2207,0.2194,0.2242,,,,0.6024,0.5993,0.6059,,,,,L
1784,Grace Montessori Academy  Incorporated,10,0.7965,,,0.8455,0.4286,0.848,0.8551,0.8646,0.8754,0.6881,0.6864,0.6924,0.7044,0.721,0.7403,0.9505,0.9502,0.9513,0.954,0.9576,0.9614,,L
1785,J C Sawyer Elementary,79,0.9581,,,0.962,0.9367,0.9836,0.9672,0.9674,0.9302,0.942,0.9416,0.9431,0.9463,0.9502,0.9546,0.978,0.9779,0.9784,0.9796,0.9811,0.9829,,H
1786,New Life Academy,36,0.951,,,0.9534,0.9259,0.9167,1,0.9599,0.9636,0.9137,0.913,0.9152,0.9196,0.9254,0.9319,0.9799,0.9797,0.9803,0.9815,0.9829,0.9845,,H
1787,Northside Elementary,77,0.9868,,,0.9868,1,0.9481,1,0.9887,1,0.9746,0.9743,0.9751,0.9765,0.9783,0.9803,0.9947,0.9947,0.9949,0.9952,0.9955,0.9959,,H
1788,P W Moore Elementary,76,0.9672,,,0.9717,0.9298,0.9623,0.9677,0.9758,0.9868,0.9541,0.9538,0.955,0.9573,0.9606,0.9641,0.9852,0.9851,0.9855,0.9863,0.9874,0.9886,,H
1790,Sheep-Harney Elementary,66,0.9473,,,0.9543,0.9778,0.9107,0.9394,0.9607,0.9483,0.9314,0.931,0.9327,0.9363,0.9411,0.9463,0.9731,0.9729,0.9737,0.9752,0.9771,0.9793,,M
1791,Victory Christian School,21,0.867,,,0.8564,0.9,0.6875,0.8656,0.8571,1,0.7832,0.7814,0.7868,0.7968,0.8096,0.8244,0.9145,0.9141,0.9161,0.9203,0.9261,0.9327,,L
1792,Weeksville Elementary,49,0.988,,,0.9876,0.9796,1,0.9778,0.9894,1,0.974,0.9738,0.9745,0.9759,0.9778,0.9798,0.996,0.9959,0.996,0.9963,0.9966,0.9969,,H
