school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1793,C.F. Pope Elementary,100,0.9605,,,0.9473,0.9059,0.9762,0.99,0.9589,0.9848,0.9283,0.9281,0.93,0.9337,0.9386,0.944,0.9632,0.9629,0.9638,0.9658,0.9683,0.9711,1,0,0,0,0,0,,H
1794,Cape Fear Elementary,104,0.9826,,,0.9798,0.9747,0.9286,1,1,1,0.9669,0.9664,0.9674,0.9692,0.9716,0.9742,0.9897,0.9896,0.9899,0.9905,0.9912,0.992,1,0,0,0,0,0,,H
1795,Malpass Corner Elementary,78,0.9472,,,0.9462,1,0.8966,0.9091,0.9615,0.9677,0.9233,0.9226,0.9246,0.9286,0.9339,0.9398,0.9643,0.964,0.965,0.9669,0.9694,0.9723,1,0,0,0,0,0,,M
1796,North Topsail Elementary,96,0.9336,,,0.9297,0.8649,0.9365,0.9512,0.9479,0.9697,0.9077,0.9069,0.9095,0.9143,0.9204,0.9273,0.9491,0.9486,0.9499,0.9527,0.9563,0.9602,1,0,0,0,0,0,,M
1798,Penderlea Elementary,57,0.9781,,,0.9789,0.9756,0.9302,0.9756,1,1,0.9628,0.9625,0.9635,0.9655,0.9681,0.971,0.9907,0.9906,0.9909,0.9914,0.9921,0.9928,1,0,0,0,0,0,,H
1799,Penderlea Christian Academy,12,0.8917,,,0.9126,1,0.9141,0.6667,0.9243,1,0.816,0.8145,0.8189,0.8276,0.8386,0.8515,0.9726,0.9724,0.9731,0.9746,0.9765,0.9787,1,0,1,0,1,0,,L
1800,Rocky Point Elementary,71,0.9696,,,0.9758,0.9231,0.9828,1,1,0.9437,0.9593,0.959,0.9601,0.9624,0.9653,0.9685,0.9877,0.9876,0.9879,0.9886,0.9895,0.9904,1,0,0,0,0,0,,H
1801,South Topsail Elementary,91,0.9531,,,0.9497,0.9367,0.9451,0.9375,0.9625,1,0.9309,0.9303,0.932,0.9355,0.9402,0.9456,0.966,0.9658,0.9666,0.9685,0.971,0.9737,1,0,0,0,0,0,,H
1802,Surf City Elementary,132,0.913,,,0.9007,0.9381,0.8917,0.871,0.9091,0.9804,0.8768,0.8761,0.8794,0.8853,0.8933,0.9024,0.9219,0.9213,0.9233,0.9274,0.9328,0.9387,1,0,0,0,0,0,,M
1803,Topsail Annandale Elementary School,112,0.959,,,0.9585,0.9326,0.963,0.9184,0.9732,1,0.942,0.9415,0.9431,0.9461,0.9501,0.9546,0.9724,0.9722,0.973,0.9744,0.9764,0.9786,1,0,0,0,0,0,,H
