school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1817,Ayden Elementary,112,0.9508,,,0.957,0.8482,0.9634,1,0.9631,0.99,0.9391,0.9388,0.9403,0.9436,0.9478,0.9526,0.9719,0.9716,0.9724,0.9739,0.9759,0.9781,1,0,0,0,1,0,,H
1818,Belvoir Elementary,71,0.9579,,,0.9642,0.9697,0.9559,0.9464,0.9577,0.9516,0.9456,0.9451,0.9465,0.9493,0.9532,0.9574,0.9788,0.9787,0.9793,0.9804,0.9819,0.9836,1,0,0,0,0,0,,H
1819,Bethel Elementary,27,0.9605,,,0.9619,0.913,0.9524,1,0.9673,0.96,0.9292,0.9289,0.9308,0.9345,0.9394,0.9449,0.9848,0.9846,0.9851,0.9859,0.987,0.9882,1,0,0,0,1,0,,H
1822,Chicod School,90,0.98,,,0.9758,0.963,0.9763,0.9776,0.9889,1,0.9607,0.9604,0.9615,0.9637,0.9664,0.9695,0.9872,0.9871,0.9874,0.9881,0.9891,0.9901,1,0,1,1,0,0,,H
1824,Christ Covenant School,64,0.9103,,,0.9187,0.8983,0.8594,0.9242,0.9298,1,0.8757,0.8747,0.8777,0.8836,0.8917,0.9009,0.9537,0.9534,0.9547,0.9572,0.9604,0.9641,1,0,0,1,1,0,,M
1825,Creekside Elementary,107,0.9669,,,0.9718,0.972,0.9231,0.978,0.9579,1,0.9577,0.9573,0.9586,0.9608,0.9637,0.967,0.9835,0.9834,0.9838,0.9847,0.9859,0.9872,1,0,0,0,0,0,,H
1826,ECU Community School,19,0.9009,,,0.9113,0.8667,0.7857,0.8947,0.9233,1,0.8412,0.8404,0.8445,0.852,0.862,0.8734,0.9608,0.9606,0.9618,0.9637,0.9664,0.9695,1,0,0,0,1,0,,M
1827,Eastern Elementary,151,0.9334,,,0.9246,0.9664,1,0.9073,0.9247,0.8632,0.907,0.9064,0.9087,0.9134,0.9197,0.9267,0.9402,0.9397,0.9412,0.9443,0.9485,0.9532,1,0,0,0,0,0,,M
1828,Elmhurst Elementary,93,0.9919,,,0.9875,1,1,0.9889,0.974,1,0.9769,0.9767,0.9772,0.9784,0.9801,0.982,0.9946,0.9946,0.9947,0.995,0.9954,0.9958,1,0,0,0,0,0,,H
1829,Embassy Innovation Academy,4,0.9895,,,0.9598,1,1,1,0.9653,1,0.8691,0.8684,0.8718,0.8783,0.8869,0.8965,0.9947,0.9947,0.9948,0.9951,0.9955,0.9959,1,0,0,0,1,0,,H
1831,Falkland Elementary,53,0.9693,,,0.9696,1,0.8788,1,0.9773,0.9583,0.9483,0.9478,0.9491,0.9519,0.9555,0.9596,0.9855,0.9854,0.9857,0.9865,0.9875,0.9887,1,0,0,0,0,0,,H
1832,G R Whitfield,67,0.9817,,,0.9769,0.9661,0.9851,1,0.9844,0.9773,0.9599,0.9596,0.9607,0.9628,0.9657,0.9688,0.9891,0.989,0.9893,0.9899,0.9907,0.9915,1,0,0,0,0,0,,H
1833,Greenville Christian Academy,40,0.8924,,,0.9011,0.931,0.8,0.8095,0.9615,1,0.8566,0.8555,0.859,0.8657,0.8751,0.8854,0.9397,0.9396,0.9412,0.9444,0.9484,0.953,1,0,0,0,0,0,,L
1834,Greenville Montessori School,16,0.9101,,,0.9028,0.9375,0.875,1,0.9286,0.8333,0.8335,0.8328,0.8367,0.8447,0.8551,0.8668,0.9534,0.953,0.9544,0.9568,0.9601,0.9637,1,0,0,0,0,0,,M
1835,Grifton,47,0.9738,,,0.9762,0.9574,0.9744,0.9444,1,1,0.9565,0.9563,0.9573,0.9597,0.9626,0.9661,0.9901,0.99,0.9903,0.9909,0.9916,0.9923,1,0,0,0,0,0,,H
1836,H B Sugg Elementary,133,0.9406,,,0.9458,0.9512,0.8571,0.9496,0.9534,1,0.926,0.9257,0.9277,0.9315,0.9364,0.9421,0.9628,0.9624,0.9634,0.9654,0.968,0.9709,1,0,0,1,1,0,,M
1837,Lakeforest Elementary,146,0.9734,,,0.9623,0.9932,0.9928,0.9549,0.9676,0.9675,0.9481,0.9476,0.9491,0.9517,0.9553,0.9594,0.9746,0.9744,0.9751,0.9765,0.9782,0.9802,1,0,0,0,1,0,,H
1838,Northwest Elementary,78,0.9482,,,0.9463,0.9828,0.8974,0.9501,0.9538,0.98,0.9116,0.9106,0.913,0.9175,0.9235,0.9303,0.9729,0.9726,0.9733,0.9747,0.9767,0.9788,1,0,0,1,1,0,,M
1839,Oakwood School,32,0.9429,,,0.9514,1,0.8,0.9545,1,0.962,0.9141,0.913,0.9153,0.92,0.9259,0.9325,0.9776,0.9775,0.978,0.9792,0.9808,0.9825,1,0,0,0,0,1,,M
1840,Open Door School,39,0.9552,,,0.9541,0.9744,0.9062,1,0.9048,1,0.9177,0.9172,0.9195,0.9237,0.9292,0.9353,0.9791,0.979,0.9796,0.9807,0.9822,0.9839,1,0,0,0,0,0,,H
1841,Pactolus,69,0.9437,,,0.9432,0.971,0.918,0.8852,0.9511,1,0.9166,0.9161,0.9179,0.9221,0.9277,0.934,0.9654,0.9651,0.9661,0.9679,0.9703,0.973,1,0,0,0,1,0,,M
