school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1862,Archdale Elementary School,67,0.9727,,,0.9725,0.9667,0.9783,1,1,0.9254,0.9543,0.9541,0.9554,0.9578,0.961,0.9645,0.9855,0.9854,0.9858,0.9865,0.9876,0.9887,,H
1863,Asheboro Hybrid Academy,30,0.5369,,,0.5596,0.5357,0.4667,0.5926,,,0.4593,0.4571,0.4638,0.4783,,,0.6589,0.6574,0.6634,0.6767,,,,L
1866,Balfour Elementary,102,0.9795,,,0.9793,0.9902,0.96,0.9634,0.9823,1,0.9661,0.9658,0.9667,0.9686,0.9709,0.9735,0.9893,0.9892,0.9895,0.9901,0.9908,0.9917,,H
1867,Charles W McCrary Elementary,64,0.9804,,,0.9809,0.9531,0.9836,0.9836,1,0.9836,0.9656,0.9652,0.9662,0.968,0.9705,0.9732,0.9916,0.9915,0.9917,0.9922,0.9928,0.9935,,H
1868,Coleridge Elementary School,50,0.9636,,,0.968,0.9756,0.96,0.9062,0.9762,0.98,0.9474,0.9471,0.9484,0.9512,0.9549,0.959,0.9838,0.9837,0.9842,0.985,0.9862,0.9875,,H
1869,Donna L Loflin Elementary,57,0.9846,,,0.983,0.9778,0.9623,1,0.9855,1,0.9665,0.9663,0.9671,0.9689,0.9713,0.9739,0.9939,0.9938,0.994,0.9943,0.9948,0.9952,,H
1870,Faith Christian School,36,0.9505,,,0.9573,0.8889,0.9667,1,0.9565,0.9666,0.9235,0.9229,0.925,0.929,0.9343,0.9402,0.9807,0.9806,0.9811,0.9822,0.9836,0.9851,,H
1871,Farmer Elementary School,46,0.9669,,,0.9644,0.9459,0.9524,0.9615,1,0.9697,0.9403,0.9398,0.9414,0.9447,0.9488,0.9534,0.983,0.9828,0.9832,0.9841,0.9854,0.9867,,H
1872,Fayetteville Street Christian School,22,0.9259,,,0.9322,0.8,1,0.9091,0.9415,0.9231,0.8775,0.8765,0.8796,0.8856,0.8937,0.9027,0.9722,0.9718,0.9725,0.974,0.9759,0.9782,,M
1873,Franklinville Elementary School,60,0.9601,,,0.9612,1,0.9412,0.9592,0.9762,0.9333,0.9406,0.9405,0.9421,0.9451,0.9492,0.9538,0.9779,0.9777,0.9782,0.9794,0.981,0.9827,,H
1874,Grace Point Christian Academy,4,0.5736,,,0.7945,0,0.75,,,,0.5403,0.5374,0.5448,,,,0.9507,0.9501,0.9513,,,,,L
1875,Grays Chapel Elementary School,84,0.9847,,,0.9708,0.987,0.9481,1,1,1,0.9557,0.9554,0.9566,0.9589,0.962,0.9656,0.9832,0.9831,0.9835,0.9845,0.9857,0.987,,H
1876,Guy B Teachey Elementary,84,0.9856,,,0.9841,1,0.961,0.9881,0.9818,1,0.9725,0.9723,0.9731,0.9746,0.9765,0.9787,0.9928,0.9927,0.9929,0.9933,0.9938,0.9944,,H
1878,Hopewell Elementary School,123,0.9629,,,0.9652,0.95,0.959,0.9187,0.9914,1,0.9519,0.9514,0.9527,0.9551,0.9585,0.9623,0.9764,0.9762,0.9769,0.9782,0.9798,0.9817,,H
1879,John R Lawrence Elementary School,67,0.9642,,,0.9663,0.9545,0.9701,0.9403,0.9655,1,0.9481,0.9477,0.949,0.9517,0.9553,0.9593,0.9805,0.9803,0.9809,0.9819,0.9833,0.9848,,H
1881,Level Cross Elementary School,83,0.959,,,0.9645,0.9859,0.9365,0.9398,0.9487,0.9836,0.9474,0.9469,0.9484,0.9512,0.9548,0.9588,0.9788,0.9786,0.9792,0.9803,0.9818,0.9835,,H
1882,Liberty Elementary School,71,0.9843,,,0.984,0.9848,0.9783,0.9552,1,1,0.9708,0.9705,0.9714,0.973,0.9751,0.9774,0.9932,0.9932,0.9934,0.9937,0.9942,0.9947,,H
