school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
1912,Deep Branch Elementary,63,0.9725,,,0.9748,0.9615,1,0.9683,0.9556,0.9804,0.9567,0.9561,0.9574,0.9597,0.9627,0.9662,0.9881,0.988,0.9883,0.9889,0.9898,0.9907,,H
1913,East Robeson Primary,139,0.9539,,,0.957,0.9784,0.8713,0.947,0.9631,0.9912,0.9416,0.941,0.9426,0.9457,0.9497,0.9542,0.971,0.9706,0.9714,0.9729,0.975,0.9773,,H
1914,Fairgrove Elementary School,49,0.9629,,,0.966,0.9714,0.9787,0.9524,0.9796,0.925,0.9425,0.942,0.9435,0.9464,0.9504,0.9549,0.9829,0.9826,0.9831,0.984,0.9852,0.9866,,H
1915,Highlander Academy,11,0.9228,,,0.9324,1,0.7273,1,1,1,0.8508,0.8491,0.8526,0.8592,0.8686,0.8795,0.9809,0.9808,0.9813,0.9823,0.9836,0.9852,,M
1917,Long Branch Elementary,85,0.9592,,,0.9578,0.9529,0.9744,0.9494,0.9638,0.9577,0.9365,0.936,0.9377,0.941,0.9453,0.9502,0.9746,0.9744,0.9752,0.9766,0.9784,0.9804,,H
1920,New Pathway Christian Academy,4,0.87,,,0.925,1,0.5,,,,0.7694,0.7675,0.7722,,,,0.9882,0.9881,0.9884,,,,,L
1921,Old Main STREAM Academy,86,0.987,,,0.9833,0.9767,0.9846,1,1,,0.9656,0.9655,0.9663,0.9682,0.9707,,0.9944,0.9943,0.9944,0.9947,0.9951,,,H
1922,Oxendine Elementary,60,0.9892,,,0.982,1,0.9767,1,0.975,1,0.9658,0.9652,0.9662,0.968,0.9705,0.9733,0.9932,0.9931,0.9933,0.9937,0.9942,0.9947,,H
1923,Parkton Elementary,68,0.9545,,,0.9353,1,0.9245,0.8689,1,0.9848,0.9121,0.9113,0.9135,0.9177,0.9236,0.9303,0.9555,0.9551,0.9563,0.9587,0.9618,0.9653,,H
1925,Peterson Elementary,121,0.9244,,,0.9065,1,1,0.7822,0.9192,0.9262,0.8802,0.8794,0.8823,0.8882,0.8962,0.905,0.9302,0.9298,0.9316,0.9352,0.94,0.9454,,M
1926,Piney Grove Elementary,72,0.9885,,,0.9755,0.9559,1,1,1,1,0.961,0.9607,0.9617,0.9639,0.9666,0.9697,0.9866,0.9865,0.9868,0.9876,0.9886,0.9896,,H
1927,Prospect Elementary,91,0.9824,,,0.9729,1,0.9855,0.978,1,0.9625,0.9569,0.9566,0.9578,0.9601,0.963,0.9664,0.9851,0.985,0.9854,0.9862,0.9872,0.9884,,H
1928,Rex-Rennert Elementary,75,0.96,,,0.9632,0.9865,0.9067,0.9831,0.9688,0.9583,0.9455,0.9449,0.9464,0.9493,0.9531,0.9573,0.9777,0.9776,0.9782,0.9794,0.981,0.9828,,H
1930,Rosenwald Elementary,71,0.9624,,,0.9278,1,0.9516,0.9718,0.9377,0.9848,0.8981,0.8977,0.9002,0.9054,0.9123,0.9199,0.953,0.9527,0.9539,0.9564,0.9597,0.9634,,H
1931,Rowland Norment Elementary,144,0.949,,,0.9429,1,0.9587,0.9248,0.899,0.9537,0.9251,0.9244,0.9265,0.9304,0.9355,0.9412,0.9585,0.958,0.9592,0.9614,0.9643,0.9675,,M
1932,Saint Pauls Elementary,138,0.9493,,,0.9461,0.9928,0.9615,1,0.9536,0.8148,0.928,0.9275,0.9293,0.9331,0.938,0.9436,0.962,0.9617,0.9626,0.9647,0.9674,0.9703,,M
1933,Southeastern Academy,21,0.9932,,,0.9856,1,0.9859,1,0.9877,1,0.963,0.9629,0.9639,0.9659,0.9686,0.9714,0.9969,0.9969,0.997,0.9971,0.9974,0.9976,,H
1934,Southside Ashpole Elementary,35,0.9326,,,0.9416,1,1,0.7742,0.9497,0.9542,0.8971,0.8966,0.899,0.9042,0.9111,0.9188,0.974,0.9738,0.9746,0.976,0.9778,0.9798,,M
1935,Tanglewood Elementary,102,0.9664,,,0.9623,0.9615,0.9381,0.957,0.9804,1,0.9459,0.9455,0.9469,0.9497,0.9534,0.9576,0.9756,0.9755,0.9762,0.9775,0.9792,0.9811,,H
1936,Townsend Elementary,52,0.9847,,,0.9736,0.9535,0.9773,1,1,1,0.9541,0.9539,0.9552,0.9575,0.9607,0.9642,0.9879,0.9878,0.9881,0.9888,0.9897,0.9907,,H
1938,Union Chapel Elementary,81,0.9413,,,0.9488,1,0.925,0.9753,0.9375,0.8525,0.9268,0.9261,0.9278,0.9316,0.9365,0.9422,0.9674,0.9671,0.968,0.9697,0.972,0.9746,,M
1939,Union Elementary,55,0.9908,,,0.9844,0.9636,1,1,1,1,0.9709,0.9707,0.9715,0.973,0.975,0.9773,0.9938,0.9938,0.9939,0.9942,0.9947,0.9952,,H
1940,W H Knuckles,108,0.9404,,,0.9211,0.9714,0.9432,0.9352,0.9619,0.9082,0.8972,0.8965,0.8992,0.9044,0.9111,0.9188,0.9425,0.9416,0.943,0.946,0.9501,0.9546,,M
