school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1944,Bethany Elementary,74,0.9714,,,0.9718,0.9697,0.9459,0.9688,0.9863,0.9861,0.9565,0.9562,0.9575,0.9598,0.9628,0.9662,0.9839,0.9838,0.9842,0.9851,0.9863,0.9875,1,0,0,0,0,0,,H
1945,Carolina Baptist Academy,16,0.9972,,,0.9809,1,1,1,1,1,0.9469,0.9465,0.9479,0.9506,0.9542,0.9583,0.9964,0.9964,0.9965,0.9967,0.9969,0.9972,1,0,0,0,0,0,,H
1946,Central Elementary,96,0.9663,,,0.9652,0.9714,0.9882,0.8958,1,0.9875,0.9491,0.9488,0.9502,0.9528,0.9565,0.9605,0.9784,0.9782,0.9787,0.9799,0.9815,0.9832,1,0,0,0,0,0,,H
1947,Community Baptist School,34,0.9893,,,0.9688,1,1,1,0.9643,1,0.9369,0.9363,0.9379,0.9413,0.9457,0.9508,0.9893,0.9892,0.9895,0.9901,0.9909,0.9917,1,0,0,0,0,0,,H
1949,John W Dillard Academy,54,0.9985,,,0.989,1,1,1,1,1,0.9772,0.977,0.9776,0.9788,0.9804,0.9823,0.9963,0.9963,0.9964,0.9966,0.9968,0.9971,1,0,0,0,0,0,,H
1950,Douglass Elementary,59,0.9775,,,0.9783,0.9796,0.9778,0.9828,1,0.9444,0.9626,0.9625,0.9634,0.9654,0.968,0.9709,0.9899,0.9898,0.9901,0.9907,0.9914,0.9922,1,0,0,0,0,0,,H
1952,Freedom Academy,25,0.7855,,,0.8067,0.7826,0.68,0.9333,,,0.7072,0.7052,0.7111,0.7231,,,0.8896,0.8888,0.8915,0.8968,,,1,0,0,0,,,,L
1953,Huntsville Elementary,68,0.9896,,,0.9861,1,0.9833,1,1,0.9649,0.9748,0.9745,0.9753,0.9766,0.9784,0.9804,0.994,0.994,0.9941,0.9945,0.9949,0.9954,1,0,0,0,0,0,,H
1954,Increase Learning Center,2,0.8269,,,0.9164,0.5,1,0.9218,0.9273,0.9334,0.7374,0.7364,0.7422,0.7526,0.7676,0.7844,0.9889,0.9888,0.9892,0.9898,0.9906,0.9915,1,0,0,1,1,1,,L
1955,Leaksville-Spray Elementary,80,0.9815,,,0.98,0.9844,0.9848,0.9825,0.9875,0.9683,0.9649,0.9647,0.9657,0.9675,0.9699,0.9727,0.9911,0.991,0.9912,0.9917,0.9923,0.993,1,0,0,0,0,0,,H
1956,Legacy Classical Academy,50,0.9853,,,0.9792,0.98,1,,,,0.9509,0.9504,0.9514,,,,0.9946,0.9946,0.9947,,,,1,0,0,,,,,H
1957,Lincoln Elementary,57,0.9697,,,0.9681,1,0.9048,0.9556,1,0.9783,0.9486,0.9483,0.9496,0.9524,0.956,0.9599,0.9838,0.9836,0.9841,0.9849,0.9861,0.9873,1,0,0,0,0,0,,H
1958,Monroeton Elementary,83,0.9719,,,0.9614,0.9759,0.9459,0.9722,1,0.9828,0.9437,0.9432,0.9447,0.9477,0.9516,0.9559,0.9759,0.9757,0.9763,0.9776,0.9793,0.9812,1,0,0,0,0,0,,H
1959,Moss Street Elementary,62,0.9457,,,0.9172,1,0.9333,0.963,0.9285,0.9348,0.8867,0.8858,0.8888,0.8943,0.9018,0.9102,0.9456,0.9451,0.9465,0.9494,0.9531,0.9574,1,0,0,0,1,1,,M
1962,Shiloh Community School LLC,12,0.7752,,,0.8227,0.75,0.8333,0.6,,,0.6709,0.6688,0.6757,0.6886,,,0.9308,0.9301,0.9319,0.9356,,,1,0,0,0,,,,L
1963,South End Elementary,94,0.98,,,0.9686,1,0.975,0.9718,0.9894,0.973,0.9513,0.9509,0.9521,0.9546,0.9579,0.9617,0.9826,0.9823,0.9829,0.9838,0.985,0.9864,1,0,0,0,0,0,,H
1964,Stoneville Elementary,72,0.9693,,,0.9664,1,0.9444,0.9394,0.9846,0.9853,0.9489,0.9485,0.9499,0.9528,0.9563,0.9602,0.9803,0.9802,0.9807,0.9817,0.9831,0.9847,1,0,0,0,0,0,,H
1967,Victory Christian Academy,2,0.5492,,,0.794,0,0,0.8056,1,1,0.552,0.5482,0.5569,0.5721,0.5914,0.6145,0.9478,0.9472,0.9485,0.9513,0.955,0.9591,1,0,0,1,0,0,,L
1968,Wentworth Elementary,86,0.9762,,,0.9744,0.9878,0.9028,0.9884,1,1,0.96,0.9597,0.9608,0.9629,0.9657,0.9688,0.9858,0.9856,0.9861,0.9868,0.9878,0.9889,1,0,0,0,0,0,,H
1969,Williamsburg Elementary,88,0.9624,,,0.9659,0.9524,0.9759,0.9375,0.9659,0.9747,0.95,0.9496,0.9508,0.9535,0.9569,0.9608,0.979,0.9788,0.9794,0.9805,0.982,0.9837,1,0,0,0,0,0,,H
