school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
1971,Bostian Elementary,55,0.9463,,,0.9479,0.9444,0.913,0.9273,0.96,0.9815,0.9247,0.924,0.9257,0.9295,0.9346,0.9404,0.9672,0.967,0.9679,0.9695,0.9719,0.9745,1,0,0,0,0,0,,M
1972,Overton Elementary,52,0.9159,,,0.8088,0.9677,0.9737,0.8947,0.9038,0.9429,0.7658,0.7644,0.7695,0.7793,0.7931,0.8087,0.8486,0.8476,0.8509,0.8578,0.8675,0.8786,1,0,0,0,0,0,,M
1973,China Grove Elementary,105,0.9345,,,0.9422,0.8851,0.957,0.9048,0.9904,0.9189,0.9239,0.9233,0.9254,0.9292,0.9343,0.9401,0.9582,0.9578,0.9589,0.9611,0.9641,0.9673,1,0,0,0,0,0,,M
1975,Dole Elementary,65,0.9304,,,0.9313,0.8769,1,0.9,0.9464,0.9524,0.9055,0.9049,0.9073,0.912,0.9181,0.9251,0.9535,0.9529,0.9541,0.9565,0.9598,0.9635,1,0,0,0,0,0,,M
1976,Koontz Elementary,105,0.8463,,,0.8634,0.9082,0.9714,0.4286,0.9167,0.9067,0.8363,0.835,0.8389,0.8464,0.8564,0.8681,0.8896,0.8885,0.8912,0.8968,0.9041,0.9124,1,0,0,0,0,0,,L
1978,Essie Academy,8,0.9332,,,0.9307,1,0.875,1,,,0.8255,0.8239,0.8282,0.8366,,,0.9852,0.9851,0.9855,0.9864,,,1,0,0,0,,,,M
1981,Shive Elementary,86,0.8508,,,0.8865,0.871,0.6481,0.8167,0.8721,0.9692,0.8574,0.8571,0.8606,0.8674,0.8763,0.8865,0.9126,0.9117,0.914,0.9184,0.9243,0.931,1,0,0,0,0,0,,L
1982,Faith Academy Charter School,103,0.9666,,,0.9639,0.9417,1,0.9747,0.96,,0.9419,0.9412,0.9427,0.9459,0.9499,,0.9805,0.9803,0.9808,0.9819,0.9833,,1,0,0,0,0,,,H
1985,Granite Quarry Elementary,95,0.9392,,,0.9311,0.9487,0.8788,0.9149,0.9579,1,0.9092,0.9085,0.9107,0.9154,0.9216,0.9285,0.95,0.9494,0.9507,0.9534,0.9569,0.9607,1,0,0,0,0,0,,M
1986,Isenberg Elementary,98,0.8962,,,0.9139,0.9286,0.7753,0.8333,0.9444,1,0.89,0.8895,0.8922,0.8976,0.9049,0.9131,0.9352,0.9347,0.9364,0.9398,0.9442,0.9492,1,0,0,0,0,0,,L
1987,Hurley Elementary,92,0.96,,,0.9532,0.96,0.9767,0.9041,0.9783,0.9839,0.9338,0.9332,0.9348,0.9383,0.9429,0.948,0.9697,0.9694,0.9702,0.9718,0.974,0.9763,1,0,0,0,0,0,,H
1988,Knollwood Elementary,103,0.9713,,,0.9689,0.9691,0.9659,0.9412,0.9903,1,0.9545,0.9541,0.9553,0.9577,0.9608,0.9644,0.9807,0.9805,0.981,0.982,0.9834,0.9849,1,0,0,0,0,0,,H
1989,Landis Elementary,118,0.8981,,,0.9039,0.6864,0.9583,0.9588,0.9636,0.9841,0.8794,0.8788,0.8819,0.8878,0.8957,0.9047,0.9259,0.9253,0.9273,0.9311,0.9361,0.9417,1,0,0,0,0,0,,L
1990,Millbridge Elementary,104,0.9643,,,0.9609,0.9518,0.957,0.9684,0.9808,0.9623,0.9436,0.9432,0.9447,0.9476,0.9515,0.9559,0.9753,0.9751,0.9757,0.977,0.9788,0.9808,1,0,0,0,0,0,,H
1991,Morgan Elementary,49,0.9586,,,0.8943,0.9474,0.9796,0.9524,0.9787,1,0.8592,0.8586,0.862,0.8689,0.8779,0.8881,0.9244,0.9236,0.9256,0.9296,0.9347,0.9405,1,0,0,0,0,0,,H
1992,Mt Ulla Elementary,51,0.9633,,,0.9611,1,0.9024,0.9767,1,0.9211,0.9369,0.9363,0.9381,0.9414,0.9458,0.9506,0.9793,0.9792,0.9798,0.9809,0.9824,0.984,1,0,0,0,0,0,,H
1993,Nehemiah Enrichment Academy,3,0.8841,,,0.9084,1,0,0.9144,1,1,0.75,0.7489,0.7551,0.766,0.7801,0.7966,0.9836,0.9835,0.9839,0.9848,0.986,0.9873,1,0,0,1,0,0,,L
1995,North Kannapolis Christian Acad,13,0.9176,,,0.9012,1,0.8571,0.875,1,0.9231,0.8041,0.8028,0.8072,0.816,0.8282,0.8417,0.9652,0.9648,0.9657,0.9675,0.9699,0.9727,1,0,0,0,0,0,,M
1996,Woodrow Wilson Elementary,53,0.9771,,,0.9682,0.9787,0.9767,0.98,0.9811,0.9773,0.9485,0.948,0.9494,0.9521,0.9557,0.9597,0.9828,0.9826,0.9831,0.984,0.9852,0.9866,1,0,0,0,0,0,,H
1997,North Rowan Elementary,71,0.9629,,,0.9669,0.9692,0.9615,0.9559,0.9437,0.9833,0.9478,0.9474,0.9487,0.9515,0.9551,0.9592,0.9825,0.9823,0.9828,0.9837,0.985,0.9863,1,0,0,0,0,0,,H
1998,Rockwell Christian School,30,0.9271,,,0.9359,1,0.9524,0.9667,0.84,0.88,0.8982,0.8973,0.8997,0.9047,0.9115,0.9192,0.9661,0.9657,0.9666,0.9685,0.9708,0.9734,1,0,0,0,0,0,,M
1999,Rockwell Elementary,88,0.9239,,,0.9354,0.8523,0.9605,0.8391,0.9881,0.9861,0.9146,0.9141,0.9163,0.9208,0.9265,0.9331,0.9538,0.9534,0.9547,0.9571,0.9604,0.964,1,0,0,0,0,0,,M
2000,Sacred Heart Catholic School,22,0.9876,,,0.9762,1,1,1,0.95,1,0.9494,0.9491,0.9503,0.953,0.9565,0.9605,0.9928,0.9928,0.9929,0.9933,0.9938,0.9944,1,0,0,0,0,0,,H
2001,Salisbury Academy,22,0.958,,,0.8355,1,1,0.9474,0.9545,1,0.7726,0.7714,0.7765,0.7866,0.8,0.8155,0.8894,0.8881,0.8906,0.8962,0.9036,0.9119,1,0,0,0,0,0,,H
2003,Summit Virtual Academy,226,0.9127,,,0.8973,0.7143,1,0.875,0.8438,0.9292,0.858,0.8571,0.861,0.8678,0.877,0.8874,0.9321,0.9316,0.9334,0.9369,0.9416,0.9468,1,0,0,0,0,0,,M
2004,West Rowan Elementary,122,0.9604,,,0.9587,0.8947,0.9785,0.9691,0.9754,0.987,0.9398,0.9394,0.9411,0.9444,0.9485,0.9532,0.9738,0.9735,0.9742,0.9757,0.9776,0.9796,1,0,0,0,0,0,,H
2006,Yadkin Path Montessori,6,0.7953,,,0.8575,1,0.8333,0.5,0.8752,0.8853,0.6844,0.6815,0.6879,0.6997,0.7169,0.7366,0.9631,0.9628,0.9638,0.9659,0.9686,0.9715,1,0,0,0,1,1,,L
