school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2007,Cliffside Elementary School,33,0.9634,,,0.9606,1,0.9615,0.9032,0.9444,1,0.9335,0.9328,0.9346,0.938,0.9426,0.9478,0.981,0.9809,0.9814,0.9825,0.9838,0.9853,,H
2008,Ellenboro Elementary School,105,0.9601,,,0.9637,0.9792,0.8961,0.9765,0.981,0.9524,0.9484,0.9481,0.9495,0.9521,0.9557,0.9597,0.9767,0.9765,0.9772,0.9784,0.9801,0.9819,,H
2009,Forest City-Dunbar Elementary School,86,0.9785,,,0.9782,0.9833,0.9867,0.9718,1,0.9535,0.9639,0.9637,0.9645,0.9664,0.969,0.9718,0.9886,0.9886,0.9889,0.9895,0.9903,0.9913,,H
2010,Forrest W. Hunt Elementary School,77,0.957,,,0.9645,0.9221,0.9706,0.9474,0.9655,0.9808,0.9469,0.9466,0.948,0.9507,0.9544,0.9586,0.9788,0.9787,0.9793,0.9804,0.9819,0.9836,,H
2011,Harris Elementary School,80,0.961,,,0.9678,0.9692,0.9221,0.9333,0.9697,1,0.9517,0.9513,0.9525,0.9551,0.9584,0.9622,0.981,0.9808,0.9813,0.9824,0.9837,0.9852,,H
2014,Mt. Vernon-Ruth Elementary School,43,0.9676,,,0.9668,1,0.9767,0.8824,0.9722,1,0.9428,0.9424,0.9439,0.947,0.9509,0.9553,0.9843,0.9841,0.9846,0.9854,0.9865,0.9877,,H
2017,Pinnacle Elementary School,51,0.9467,,,0.9493,0.9804,0.9143,0.9048,0.9394,0.9767,0.923,0.9225,0.9245,0.9284,0.9336,0.9396,0.971,0.9706,0.9714,0.973,0.9751,0.9774,,M
2018,Rutherfordton Elementary School,63,0.9715,,,0.97,0.9,1,0.9667,1,1,0.9509,0.9505,0.9518,0.9544,0.9579,0.9617,0.9847,0.9845,0.9849,0.9858,0.9869,0.9881,,H
2019,Spindale Elementary School,62,0.9321,,,0.9211,0.8871,0.9216,0.9492,0.9259,1,0.8937,0.8931,0.8958,0.901,0.908,0.9159,0.9452,0.9447,0.9461,0.9489,0.9527,0.9569,,M
2020,Sunshine Elementary School,43,0.9561,,,0.955,1,0.9737,0.8837,0.9706,0.9615,0.9281,0.9276,0.9296,0.9334,0.9384,0.9439,0.9762,0.9759,0.9766,0.9779,0.9796,0.9815,,H
2021,The Master's Academy,14,0.7032,,,0.7362,0.6667,0.5,0.7506,0.7653,0.7822,0.588,0.586,0.5929,0.607,0.6263,0.6492,0.8623,0.8611,0.8645,0.8713,0.8801,0.8901,,L
2023,Thomas Jefferson Classical Academy,112,0.9579,,,0.9536,0.9468,0.9643,0.9569,0.9601,0.9637,0.9256,0.9251,0.9268,0.9308,0.9357,0.9413,0.9749,0.9747,0.9753,0.9767,0.9785,0.9805,,H
2024,Trinity Christian School,32,0.8548,,,0.8478,0.5,0.8503,1,0.92,0.9375,0.7806,0.779,0.7838,0.7936,0.8068,0.8216,0.9045,0.9038,0.906,0.9109,0.9171,0.9243,,L
2026,Word of Faith Christian Sch.,10,0.9917,,,0.9748,1,1,1,0.9784,1,0.9282,0.9274,0.9292,0.9328,0.9377,0.9431,0.9955,0.9955,0.9957,0.9959,0.9962,0.9966,,H
