school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
2028,Clement Elementary,61,0.9789,,,0.9768,0.9672,1,0.9574,0.9801,1,0.9588,0.9584,0.9595,0.9617,0.9645,0.9677,0.9895,0.9894,0.9897,0.9902,0.991,0.9918,1,0,0,0,1,0,,H
2030,Hargrove Elementary,61,0.9597,,,0.9507,1,0.96,0.9672,0.9576,0.9333,0.9253,0.9245,0.9265,0.9304,0.9355,0.9412,0.9712,0.971,0.9718,0.9734,0.9755,0.9777,1,0,0,0,1,0,,H
2031,Harrells Christian Academy,38,0.9573,,,0.9634,0.9211,0.9474,0.9211,1,1,0.9379,0.9379,0.9394,0.9426,0.9468,0.9516,0.9825,0.9824,0.9829,0.9838,0.9851,0.9864,1,0,0,0,0,0,,H
2032,Hobbton Elementary,80,0.9836,,,0.9691,1,1,0.9863,0.9735,0.9692,0.9515,0.9513,0.9527,0.9552,0.9586,0.9623,0.9828,0.9827,0.9831,0.984,0.9852,0.9866,1,0,0,0,1,0,,H
2033,Langdon C Kerr Elementary,254,0.9846,,,0.9692,0.9915,0.9865,0.9882,0.9821,0.9905,0.9597,0.9593,0.9604,0.9625,0.9654,0.9685,0.9778,0.9775,0.9781,0.9793,0.9809,0.9827,1,0,0,0,0,0,,H
2034,Midway Elementary,89,0.9497,,,0.9516,0.9125,0.9571,0.9136,1,0.96,0.9324,0.9319,0.934,0.9375,0.942,0.9472,0.969,0.9686,0.9694,0.9712,0.9734,0.9758,1,0,0,0,0,0,,M
2037,New Life Uplifted School,1,0.9712,,,0.9419,1,0.9429,1,,,0.8047,0.8034,0.8078,0.8168,,,0.9929,0.9928,0.993,0.9934,,,1,0,1,0,,,,H
2038,Plain View Elementary,72,0.9615,,,0.9552,0.931,0.963,1,1,0.9254,0.9331,0.9326,0.9346,0.9379,0.9424,0.9475,0.9726,0.9723,0.9731,0.9746,0.9765,0.9787,1,0,0,0,0,0,,H
2039,Roseboro Elementary,70,0.9416,,,0.9418,0.9245,0.9851,0.9524,0.9286,0.9091,0.9174,0.917,0.9192,0.9234,0.929,0.9353,0.9623,0.9619,0.9629,0.9649,0.9676,0.9706,1,0,0,0,0,0,,M
2040,Salemburg Elementary,88,0.9415,,,0.9324,0.9759,0.9432,0.9833,0.8636,0.947,0.9062,0.9054,0.9078,0.9126,0.9189,0.9259,0.9549,0.9545,0.9557,0.9582,0.9612,0.9647,1,0,0,0,0,1,,M
2042,The Point Christian Academy,11,0.9979,,,0.9768,1,1,1,1,1,0.9353,0.9347,0.9367,0.9404,0.9449,0.9499,0.9955,0.9955,0.9956,0.9958,0.9962,0.9965,1,0,0,0,0,0,,H
2043,Union Elementary,144,0.9577,,,0.9444,0.9545,0.9514,0.9565,0.9848,0.9549,0.9282,0.9277,0.9295,0.9331,0.938,0.9436,0.9584,0.958,0.959,0.9613,0.9642,0.9674,1,0,0,0,0,0,,H
