school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2054,Aquadale Elementary,60,0.9742,,,0.9756,0.9667,0.9184,0.9774,1,1,0.9571,0.9566,0.9577,0.96,0.963,0.9663,0.9888,0.9888,0.989,0.9896,0.9904,0.9913,,H
2055,Badin Elementary,70,0.9778,,,0.9756,0.9836,0.9828,0.9571,0.9848,0.9848,0.9593,0.9591,0.9601,0.9624,0.9653,0.9684,0.9878,0.9877,0.988,0.9886,0.9895,0.9905,,H
2056,Carolina Christian School,33,0.8453,,,0.8637,0.7895,0.9062,0.7273,0.9167,0.8947,0.808,0.8068,0.8113,0.82,0.8317,0.8452,0.9111,0.9103,0.9125,0.917,0.923,0.9297,,L
2057,Central Elementary,99,0.9533,,,0.9561,0.9722,0.9468,0.9091,0.9684,0.9765,0.9387,0.9382,0.9397,0.943,0.9473,0.952,0.9709,0.9707,0.9715,0.9731,0.9751,0.9774,,H
2058,Christ the King Christian Academy,17,0.9978,,,0.9616,1,1,1,1,1,0.9113,0.9106,0.9126,0.9173,0.9233,0.93,0.9898,0.9898,0.99,0.9905,0.9913,0.9921,,H
2059,East Albemarle Elementary,58,0.9634,,,0.9692,1,0.9815,0.9138,0.9455,0.9804,0.9516,0.9514,0.9526,0.9551,0.9585,0.9623,0.9825,0.9823,0.9828,0.9838,0.985,0.9864,,H
2060,Endy Elementary,68,0.9685,,,0.9676,0.9787,0.9167,0.9706,0.9839,1,0.9491,0.9487,0.95,0.9526,0.9562,0.9602,0.9819,0.9817,0.9822,0.9832,0.9845,0.986,,H
2061,Heritage Classical Academy,24,0.8334,,,0.8406,0.7083,0.8636,0.7222,1,1,0.7577,0.756,0.7613,0.7715,0.7858,0.8017,0.9081,0.9071,0.9092,0.9138,0.9201,0.9272,,L
2062,Locust Elementary,93,0.9258,,,0.9381,0.9167,0.9355,0.9268,0.831,1,0.9166,0.9158,0.918,0.9224,0.928,0.9342,0.9566,0.9562,0.9573,0.9597,0.9627,0.9661,,M
2063,Millingport Elementary,33,0.9793,,,0.9773,0.9643,1,0.9677,0.9565,1,0.9561,0.9557,0.9569,0.9592,0.9623,0.9657,0.9915,0.9913,0.9915,0.992,0.9926,0.9933,,H
2064,Norwood Elementary,50,0.9779,,,0.9645,0.9787,1,0.9671,0.98,0.9783,0.9423,0.9418,0.9433,0.9463,0.9502,0.9547,0.9822,0.982,0.9825,0.9835,0.9848,0.9862,,H
2065,Oakboro Choice STEM,55,0.9803,,,0.9781,0.9583,0.9792,0.9818,0.9818,1,0.9611,0.961,0.9619,0.964,0.9669,0.9699,0.9902,0.9901,0.9904,0.9909,0.9917,0.9924,,H
2067,Park Ridge Christian School,38,0.9651,,,0.9705,0.9048,0.9,1,1,1,0.9442,0.9439,0.9452,0.948,0.9519,0.9564,0.9876,0.9874,0.9878,0.9885,0.9894,0.9903,,H
2068,Richfield Elementary,61,0.9741,,,0.9715,0.9394,0.9836,0.9423,1,1,0.9517,0.9511,0.9524,0.9549,0.9582,0.962,0.9863,0.9862,0.9865,0.9872,0.9882,0.9893,,H
2070,Stanfield Elementary,85,0.9803,,,0.9734,0.9529,0.9863,1,0.9818,1,0.9572,0.957,0.9581,0.9604,0.9634,0.9667,0.9858,0.9856,0.9861,0.9868,0.9879,0.989,,H
2072,Tillery Christian Academy,11,0.8786,,,0.9027,0.9091,1,0.7,0.8571,1,0.8082,0.8068,0.8112,0.8202,0.8318,0.8452,0.9659,0.9658,0.9669,0.9688,0.9713,0.9739,,L
