school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2073,Calvary Christian School,33,0.9671,,,0.9646,1,0.9615,0.9667,0.9355,0.9724,0.9315,0.9313,0.9331,0.9365,0.9412,0.9464,0.9865,0.9864,0.9868,0.9876,0.9885,0.9896,,H
2074,Germanton Elementary School,35,0.9907,,,0.9812,1,0.9545,1,1,1,0.9615,0.9612,0.9623,0.9643,0.9669,0.9699,0.9935,0.9934,0.9936,0.9939,0.9944,0.9949,,H
2075,King Elementary School,79,0.9865,,,0.9829,1,0.9552,0.9844,1,1,0.97,0.9696,0.9704,0.9721,0.9742,0.9766,0.9924,0.9924,0.9926,0.993,0.9935,0.9941,,H
2077,Living Word Christian Academy,10,0.8368,,,0.8771,0.8,1,0.5,0.8929,0.9018,0.7562,0.7547,0.7593,0.7693,0.7833,0.7995,0.9592,0.959,0.9601,0.9623,0.9651,0.9683,,L
2078,London Elementary School,35,0.9688,,,0.9777,1,0.8889,0.9333,1,1,0.9592,0.9588,0.96,0.9622,0.965,0.9682,0.9906,0.9906,0.9908,0.9913,0.992,0.9927,,H
2079,Mount Olive Elementary School,60,0.9837,,,0.9834,0.9778,0.9787,0.9833,0.9818,1,0.9691,0.9688,0.9697,0.9713,0.9735,0.976,0.9932,0.9931,0.9933,0.9937,0.9942,0.9947,,H
2080,Nancy Reynolds Elementary School,27,0.9833,,,0.9834,1,0.9583,0.963,1,1,0.9622,0.9619,0.9628,0.9648,0.9675,0.9704,0.9953,0.9952,0.9954,0.9956,0.996,0.9964,,H
2082,Pinnacle Elementary School,27,0.9554,,,0.9505,0.8846,0.9091,1,1,1,0.9172,0.9166,0.9189,0.9232,0.9289,0.9351,0.975,0.9748,0.9754,0.9767,0.9785,0.9805,,H
2083,Poplar Springs Elementary School,80,0.9737,,,0.9691,0.962,0.9688,0.9863,0.9625,1,0.9529,0.9525,0.9538,0.9563,0.9596,0.9632,0.9824,0.9823,0.9828,0.9838,0.9851,0.9864,,H
2084,Sandy Ridge  Elementary School,34,0.9693,,,0.9742,0.9706,0.9667,1,0.9545,0.9412,0.9518,0.9513,0.9526,0.9551,0.9585,0.9622,0.9899,0.9897,0.99,0.9905,0.9913,0.9921,,H
2085,Walnut Cove Elementary School,45,0.9888,,,0.9883,0.973,0.9778,1,1,1,0.9754,0.9753,0.976,0.9774,0.9791,0.981,0.9963,0.9962,0.9964,0.9966,0.9968,0.9971,,H
