school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2086,Bruce H. Tharrington Primary,143,0.9892,,,0.9902,0.986,0.992,0.9914,0.9916,0.9848,0.9826,0.9825,0.9829,0.9839,0.9851,0.9865,0.9957,0.9956,0.9957,0.996,0.9963,0.9966,,H
2087,Cedar Ridge Elementary,59,0.9769,,,0.9773,0.94,0.9773,1,0.9831,0.9811,0.9614,0.9611,0.9621,0.964,0.9667,0.9698,0.9894,0.9894,0.9896,0.9902,0.991,0.9918,,H
2088,Copeland Elementary,48,0.9858,,,0.986,0.9792,0.9756,0.975,1,1,0.9715,0.9713,0.9721,0.9736,0.9756,0.9779,0.9952,0.9951,0.9953,0.9955,0.9959,0.9963,,H
2089,Dobson Elementary,58,0.9854,,,0.9865,0.9216,1,1,1,1,0.9734,0.9732,0.974,0.9754,0.9773,0.9794,0.995,0.9949,0.9951,0.9954,0.9957,0.9961,,H
2090,Elkin Elementary,95,0.9784,,,0.9734,0.9877,0.9368,1,0.9772,1,0.9588,0.9585,0.9595,0.9617,0.9646,0.9678,0.9848,0.9846,0.9851,0.9859,0.987,0.9882,,H
2091,Flat Rock Elementary,40,0.9802,,,0.9806,0.975,0.9333,1,1,1,0.9599,0.9595,0.9606,0.9627,0.9655,0.9687,0.9931,0.9931,0.9934,0.9938,0.9942,0.9947,,H
2092,Franklin Elementary,78,0.9711,,,0.9674,0.9385,0.9831,0.9872,0.9744,0.973,0.9516,0.9513,0.9527,0.9552,0.9587,0.9624,0.9803,0.9801,0.9806,0.9817,0.9831,0.9847,,H
2094,Millennium Charter Academy,72,0.9564,,,0.9613,0.9444,0.918,0.9841,0.9231,1,0.9415,0.941,0.9425,0.9455,0.9496,0.9541,0.9774,0.9773,0.9779,0.9791,0.9807,0.9825,,H
2095,Mountain Park Elementary,35,0.974,,,0.9504,0.9714,0.9655,1,0.9688,1,0.9197,0.9188,0.9209,0.9251,0.9305,0.9366,0.9744,0.9741,0.9749,0.9763,0.9781,0.9801,,H
2096,Pilot Mountain Elementary,60,0.9815,,,0.9821,1,0.9412,0.9833,0.9831,1,0.9677,0.9676,0.9684,0.9702,0.9724,0.9749,0.9923,0.9922,0.9924,0.9928,0.9934,0.994,,H
2097,Rockford Elementary,56,0.9956,,,0.9924,1,1,1,0.9804,1,0.9829,0.9827,0.9832,0.9841,0.9854,0.9867,0.9979,0.9979,0.998,0.9981,0.9982,0.9984,,H
2098,Salem Christian Academy,21,0.8344,,,0.865,0.619,0.8672,0.8737,0.8823,1,0.7701,0.7681,0.7734,0.7829,0.7963,0.8118,0.9363,0.9356,0.9373,0.9407,0.9451,0.9499,,L
2099,Shoals Elementary,49,0.9795,,,0.9816,0.9722,0.9512,1,0.9677,1,0.9655,0.9654,0.9662,0.9681,0.9705,0.9732,0.9925,0.9925,0.9926,0.9931,0.9936,0.9942,,H
2100,Surry Online Magnet School,3,0.8597,,,0.9386,1,1,0.6667,,,0.7962,0.7947,0.7998,0.8087,,,0.9925,0.9924,0.9926,0.993,,,,L
2101,Westfield Elementary,39,0.9674,,,0.9704,0.8974,1,1,1,0.9545,0.9463,0.9458,0.9472,0.95,0.9538,0.9581,0.9871,0.987,0.9873,0.988,0.9889,0.99,,H
2102,White Plains Christian School,4,0.9333,,,0.9387,1,1,0.75,0.9471,1,0.8429,0.8413,0.8448,0.8526,0.8625,0.8737,0.9871,0.987,0.9874,0.9881,0.9891,0.9901,,M
2103,White Plains Elementary,55,0.9687,,,0.9701,0.9091,1,0.963,0.9804,1,0.9513,0.9508,0.9521,0.9546,0.958,0.9618,0.9846,0.9844,0.9847,0.9856,0.9867,0.9879,,H
2104,Yadkin Valley Community School,7,0.9289,,,0.9442,0.8571,0.9452,0.9481,0.9518,0.956,0.8229,0.8221,0.8264,0.8349,0.8458,0.8583,0.9916,0.9916,0.9918,0.9923,0.9929,0.9936,,M
