school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2125,Antioch Elementary,123,0.9732,,,0.9689,0.9394,0.97,1,0.9593,1,0.9552,0.9549,0.9562,0.9587,0.9619,0.9653,0.9802,0.9801,0.9806,0.9817,0.9831,0.9846,,H
2126,Arborbrook Christian Academy,25,0.6008,,,0.6134,0.5652,0.6522,0.5,0.4706,0.76,0.534,0.532,0.5399,0.5534,0.5735,0.5977,0.691,0.6895,0.6955,0.7077,0.7246,0.7442,,L
2127,Benton Heights Elementary,90,0.975,,,0.9706,0.9324,0.9419,1,1,1,0.9559,0.9557,0.9569,0.9594,0.9623,0.9658,0.9826,0.9825,0.9829,0.9839,0.9851,0.9865,,H
2129,Covenant Christian Academy,9,0.7214,,,0.7818,0.6667,0.7143,,,,0.5907,0.5878,0.5941,,,,0.9195,0.9188,0.9208,,,,,L
2131,East Elementary,67,0.9228,,,0.9065,0.9828,0.8657,0.9672,0.9492,0.8769,0.877,0.8764,0.8794,0.8854,0.8934,0.9026,0.9322,0.9315,0.9332,0.9368,0.9414,0.9467,,M
2132,Fairview Elementary,78,0.941,,,0.9237,0.8966,0.9783,0.9231,0.9437,1,0.8988,0.8982,0.9007,0.9059,0.9124,0.9201,0.9469,0.9462,0.9477,0.9505,0.9542,0.9583,,M
2133,First Assembly Christian School,16,0.9414,,,0.9294,0.8,0.9375,0.9343,1,1,0.8624,0.8618,0.8652,0.8718,0.8806,0.8906,0.973,0.9727,0.9734,0.9749,0.9768,0.979,,M
2134,Grace Academy,15,0.5716,,,0.6103,0.3333,0.5,0.6923,0.7143,0.8,0.5042,0.5017,0.5087,0.5239,0.5443,0.569,0.7088,0.7068,0.7127,0.724,0.7402,0.7586,,L
2135,Hemby Bridge Elementary,83,0.962,,,0.9568,0.9508,0.9518,0.9494,0.963,1,0.9367,0.9362,0.9379,0.9412,0.9456,0.9504,0.9737,0.9734,0.9741,0.9755,0.9774,0.9795,,H
2136,Indian Trail Elementary,120,0.938,,,0.9396,0.8916,0.925,0.9342,0.9462,1,0.918,0.9176,0.9196,0.9238,0.9293,0.9355,0.9575,0.957,0.9581,0.9604,0.9634,0.9668,,M
2137,Kensington Elementary,157,0.9572,,,0.9541,0.95,0.8962,0.958,0.9682,0.9936,0.9387,0.9384,0.9401,0.9432,0.9475,0.9523,0.9674,0.9672,0.968,0.9698,0.9721,0.9746,,H
2138,Marshville Elementary,76,0.9535,,,0.9454,0.9091,0.9474,0.9275,1,1,0.9227,0.9222,0.9243,0.9283,0.9335,0.9393,0.9643,0.964,0.965,0.9669,0.9694,0.9722,,H
2140,Marvin Elementary,97,0.9723,,,0.9508,0.9545,0.9383,0.9787,1,1,0.9325,0.9318,0.9334,0.937,0.9417,0.9469,0.9674,0.9671,0.968,0.9697,0.972,0.9745,,H
2141,Metrolina Christian Academy,81,0.8099,,,0.8237,0.7037,0.8125,0.8347,0.8456,0.8581,0.7814,0.7802,0.7852,0.7948,0.8078,0.8229,0.8631,0.862,0.8654,0.872,0.8808,0.8908,,L
2142,Monroe Charter Academy,36,0.7541,,,0.791,0.375,0.8056,0.6522,0.816,1,0.7149,0.7131,0.7193,0.7309,0.7465,0.7648,0.859,0.8579,0.8608,0.8676,0.8769,0.8873,,L
2143,New Salem Elementary,42,0.9744,,,0.9744,0.975,0.975,0.9762,0.95,1,0.9559,0.9556,0.9568,0.9591,0.9621,0.9655,0.9881,0.988,0.9883,0.9889,0.9898,0.9908,,H
2144,New Town Elementary,109,0.9645,,,0.9655,0.9405,0.9255,0.9725,0.9868,1,0.9506,0.9502,0.9515,0.9541,0.9575,0.9613,0.9775,0.9773,0.978,0.9792,0.9808,0.9826,,H
2145,NorthPoint Christian Academy,23,0.6495,,,0.6664,0.5263,0.6471,0.7391,,,0.552,0.5507,0.5577,0.5721,,,0.7752,0.7737,0.7789,0.7889,,,,L
2147,Poplin Elementary,117,0.9461,,,0.9392,0.9314,0.9533,0.9573,0.9537,0.9394,0.9212,0.9206,0.9228,0.9267,0.932,0.938,0.9548,0.9543,0.9556,0.958,0.9612,0.9648,,M
2148,Porter Ridge Elementary,112,0.9554,,,0.9466,0.9286,0.9903,0.9362,0.9767,0.9605,0.9277,0.927,0.9288,0.9325,0.9375,0.9432,0.963,0.9627,0.9637,0.9656,0.9682,0.9712,,H
2149,Prospect Elementary,77,0.9673,,,0.9591,0.9481,0.9365,0.9825,1,1,0.9401,0.9395,0.9411,0.9442,0.9484,0.953,0.9745,0.9744,0.9751,0.9765,0.9783,0.9802,,H
2150,Rea View Elementary,99,0.9673,,,0.9626,0.9394,0.9494,0.9867,0.9878,0.9868,0.9457,0.9454,0.9467,0.9497,0.9534,0.9576,0.977,0.9768,0.9773,0.9785,0.9801,0.982,,H
2151,Rock Rest Elementary,81,0.9692,,,0.9687,0.9302,0.9714,0.9394,0.9877,1,0.9506,0.9504,0.9517,0.9543,0.9578,0.9616,0.9829,0.9827,0.9831,0.984,0.9852,0.9866,,H
2152,Rocky River Elementary,86,0.9097,,,0.9148,0.9753,0.7531,0.8961,0.913,1,0.8924,0.8915,0.8942,0.8995,0.9067,0.9147,0.9354,0.9351,0.9368,0.9402,0.9446,0.9495,,M
2153,Sandy Ridge Elementary,82,0.9683,,,0.9689,0.9474,0.9857,0.9634,0.9444,1,0.9516,0.9511,0.9523,0.9549,0.9582,0.962,0.9829,0.9828,0.9832,0.9841,0.9854,0.9867,,H
2154,Sardis Elementary,82,0.9087,,,0.9072,0.8537,0.8939,0.9242,0.9595,0.9245,0.88,0.8792,0.8823,0.8883,0.8961,0.9049,0.9316,0.9311,0.9329,0.9365,0.9412,0.9465,,M
2156,Shiloh Valley Primary School,205,0.9451,,,0.935,0.9527,0.9268,0.9485,0.9526,0.9609,0.9195,0.9191,0.9211,0.9252,0.9306,0.9367,0.9493,0.9488,0.9502,0.9529,0.9564,0.9605,,M
2157,Shining Light Baptist Academy,32,0.6032,,,0.6037,0.5312,0.6083,0.6218,0.6406,0.6627,0.4728,0.4716,0.4786,0.4939,0.5142,0.5389,0.7301,0.7287,0.7345,0.7456,0.761,0.7788,,L
2158,Stallings Elementary,126,0.9442,,,0.9439,0.9027,0.9474,0.9386,0.9524,0.9813,0.9263,0.9256,0.9277,0.9315,0.9365,0.9422,0.9587,0.9585,0.9596,0.9617,0.9646,0.9678,,M
2159,Tabernacle Christian School,29,0.9541,,,0.9542,0.9231,1,0.9231,0.931,1,0.9178,0.9174,0.9195,0.9237,0.9293,0.9354,0.9806,0.9804,0.9809,0.982,0.9834,0.9849,,H
2160,Thales Academy,93,0.8969,,,0.8947,0.8125,0.9155,0.8571,0.8817,1,0.8608,0.8599,0.8632,0.8698,0.8788,0.889,0.924,0.9233,0.9252,0.9293,0.9343,0.9402,,L
2162,Union Academy,180,0.9614,,,0.9576,0.908,0.9686,0.9667,0.9684,1,0.944,0.9435,0.9451,0.948,0.9519,0.9563,0.9694,0.9692,0.9701,0.9717,0.9739,0.9763,,H
2163,Union Day School,88,0.9323,,,0.8865,0.8824,0.9437,0.9608,0.9855,0.9205,0.858,0.8574,0.8608,0.8676,0.8769,0.8871,0.9128,0.9119,0.9142,0.9187,0.9246,0.9312,,M
2164,Union Elementary,52,0.9454,,,0.9464,0.9615,0.9412,0.7667,1,1,0.9203,0.9199,0.9218,0.926,0.9315,0.9376,0.9673,0.9671,0.968,0.9697,0.9719,0.9745,,M
2165,Union Prep Academy at Indian Trail,118,0.9501,,,0.9503,0.9314,0.9661,,,,0.9188,0.9184,0.9206,,,,0.974,0.9738,0.9745,,,,,H
2168,Unionville Elementary,120,0.9536,,,0.9605,0.9032,0.95,0.9394,0.9818,0.9878,0.9458,0.9456,0.947,0.9499,0.9536,0.9578,0.9731,0.9729,0.9737,0.9751,0.977,0.9792,,H
2169,Walter Bickett Elementary,85,0.9617,,,0.955,0.9375,0.9211,0.9853,0.9643,1,0.9344,0.9339,0.9356,0.939,0.9435,0.9486,0.9714,0.9711,0.9719,0.9734,0.9755,0.9777,,H
2170,Waxhaw Elementary,101,0.9406,,,0.9339,0.9091,0.97,0.908,0.9406,0.9861,0.9129,0.9122,0.9144,0.9189,0.9248,0.9315,0.9529,0.9524,0.9538,0.9562,0.9595,0.9632,,M
2171,Weddington Christian Academy,28,0.919,,,0.9231,0.9643,0.8667,0.9375,0.9231,0.8462,0.8729,0.8718,0.8753,0.8817,0.8898,0.8992,0.9623,0.9619,0.9628,0.9647,0.9674,0.9703,,M
2172,Weddington Elementary,93,0.9621,,,0.9588,0.939,0.9667,0.9355,0.9733,1,0.9409,0.9404,0.942,0.945,0.9491,0.9537,0.9735,0.9733,0.974,0.9754,0.9772,0.9793,,H
2173,Wesley Chapel Elementary,128,0.9426,,,0.9495,0.9535,0.955,0.9219,0.9485,0.9315,0.9318,0.9311,0.9329,0.9366,0.9413,0.9465,0.9645,0.9641,0.965,0.967,0.9695,0.9723,,M
2174,Western Union Elementary,91,0.9177,,,0.9261,0.8333,0.8571,0.9326,0.954,1,0.9035,0.9025,0.9049,0.9097,0.9162,0.9234,0.9472,0.9466,0.9479,0.9507,0.9545,0.9586,,M
2175,Wingate Elementary,61,0.9818,,,0.9781,0.9811,0.9815,0.9828,0.9836,0.9831,0.9631,0.9626,0.9635,0.9656,0.9682,0.9712,0.9895,0.9894,0.9897,0.9903,0.991,0.9919,,H
