school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2176,Aycock Elementary,58,0.9874,,,0.9798,1,0.963,1,1,0.98,0.9635,0.9631,0.9644,0.9663,0.9688,0.9717,0.991,0.9909,0.9912,0.9916,0.9923,0.993,,H
2178,Clarke Elementary,67,0.9562,,,0.9509,0.8833,0.9552,0.9841,1,0.9762,0.9277,0.927,0.929,0.9327,0.9376,0.9432,0.97,0.9698,0.9706,0.9721,0.9743,0.9766,,H
2180,Crossroads Christian School,41,0.9493,,,0.9492,0.9756,0.8974,0.9394,1,0.9,0.914,0.9136,0.9156,0.9199,0.9258,0.9324,0.9751,0.9749,0.9755,0.9768,0.9785,0.9805,,M
2181,Dabney Elementary,75,0.9635,,,0.9596,0.9718,0.92,0.96,0.9818,1,0.9404,0.9399,0.9415,0.9446,0.9488,0.9534,0.9746,0.9743,0.9749,0.9763,0.9782,0.9802,,H
2182,E M Rollins Elementary,68,0.9289,,,0.9444,0.8596,0.9811,0.9667,0.8676,0.9778,0.9204,0.92,0.9221,0.9262,0.9319,0.9379,0.9643,0.9641,0.9651,0.9669,0.9695,0.9723,,M
2183,E O Young Jr Elementary,36,0.9713,,,0.9631,1,0.9677,0.9355,0.9722,1,0.9365,0.936,0.9376,0.9409,0.9453,0.9502,0.9824,0.9821,0.9826,0.9836,0.9848,0.9863,,H
2184,Henderson Collegiate,112,0.871,,,0.8819,0.8952,0.7596,0.8981,0.8661,0.9278,0.8571,0.8558,0.8593,0.866,0.8752,0.8857,0.9049,0.9042,0.9064,0.9112,0.9176,0.9248,,L
2185,Kerr-Vance Academy,13,0.9379,,,0.9482,0.75,1,1,0.8889,1,0.8964,0.8958,0.8985,0.9034,0.9101,0.9179,0.9816,0.9815,0.9819,0.983,0.9844,0.9858,,M
2186,L B Yancey Elementary,36,0.9914,,,0.9842,1,0.9667,1,1,1,0.9662,0.9659,0.9668,0.9686,0.971,0.9737,0.9952,0.9951,0.9953,0.9956,0.9959,0.9963,,H
2187,New Hope Elementary,24,0.9634,,,0.962,1,1,0.8333,1,1,0.9315,0.9307,0.9324,0.9359,0.9407,0.946,0.9842,0.984,0.9844,0.9852,0.9863,0.9876,,H
2188,Pinkston Street Elementary,45,0.9571,,,0.9586,0.9091,1,0.9778,1,0.8919,0.9345,0.934,0.9358,0.9393,0.9439,0.9489,0.9774,0.9773,0.9779,0.9791,0.9807,0.9825,,H
2189,Vance Charter School,64,0.9841,,,0.9837,0.9844,0.9841,0.9688,0.9841,1,0.971,0.9708,0.9716,0.9732,0.9752,0.9775,0.9926,0.9925,0.9927,0.9932,0.9937,0.9943,,H
2191,Victory Baptist Church School,4,0.987,,,0.9666,1,0.9672,0.969,1,1,0.8897,0.8893,0.8924,0.8978,0.9051,0.9134,0.9953,0.9953,0.9954,0.9956,0.996,0.9964,,H
2193,Zeb Vance Elementary,54,0.9591,,,0.9627,0.9697,0.9091,0.9444,1,0.9545,0.9393,0.9387,0.9403,0.9435,0.9476,0.9523,0.9799,0.9797,0.9803,0.9815,0.9829,0.9845,,H
