school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
625,Beacon Christian Academy,12,0.7728,,,0.807,0.625,1,0.9167,0.6364,,0.673,0.6715,0.6777,0.6906,0.7082,,0.9103,0.9097,0.9124,0.9169,0.923,,,L
2195,Abbotts Creek Elementary,128,0.9827,,,0.9798,0.9915,0.9609,1,0.9827,0.9837,0.9684,0.9682,0.9691,0.9708,0.973,0.9755,0.9887,0.9886,0.9889,0.9895,0.9903,0.9912,,H
2196,Adams Elementary,133,0.838,,,0.844,0.9843,0.6391,0.8605,0.8638,0.8696,0.8149,0.814,0.8185,0.8272,0.8383,0.8512,0.8702,0.8693,0.8724,0.8786,0.8872,0.8967,,L
2198,Al-Iman School,29,0.9599,,,0.9382,0.9643,1,1,0.931,0.9259,0.8998,0.8987,0.9012,0.9062,0.9131,0.9206,0.9685,0.9682,0.969,0.9708,0.973,0.9755,,H
2200,Alston Ridge Elementary,167,0.9934,,,0.9929,1,0.9817,0.9934,0.9939,1,0.9864,0.9862,0.9866,0.9874,0.9883,0.9894,0.9971,0.9971,0.9971,0.9973,0.9975,0.9977,,H
2201,Apex Elementary,120,0.9698,,,0.9678,0.9529,0.9576,0.9894,0.9831,0.9667,0.9529,0.9525,0.9537,0.9562,0.9594,0.9632,0.98,0.9799,0.9804,0.9815,0.9829,0.9845,,H
2202,Apex Friendship Elementary,143,0.9941,,,0.9909,0.986,1,1,,,0.9812,0.9811,0.9816,0.9826,,,0.9971,0.9971,0.9971,0.9973,,,,H
2205,Aversboro Elementary,68,0.9554,,,0.9497,0.9104,0.9259,0.9815,1,0.9649,0.9272,0.9267,0.9287,0.9325,0.9374,0.9429,0.969,0.9687,0.9696,0.9711,0.9733,0.9757,,H
2208,Ballentine Elementary,127,0.9685,,,0.9633,0.9754,0.96,0.9921,0.9817,0.9358,0.949,0.9486,0.95,0.9527,0.9564,0.9603,0.9753,0.9751,0.9757,0.9771,0.9788,0.9808,,H
2209,Banks Road Elementary,121,0.965,,,0.9687,0.95,0.9273,0.9646,0.9835,1,0.9555,0.9552,0.9564,0.9588,0.9619,0.9653,0.9797,0.9795,0.9801,0.9813,0.9827,0.9843,,H
2210,Barton Pond Elementary,88,0.9733,,,0.969,0.9459,1,,,,0.9407,0.9403,0.9418,,,,0.9881,0.988,0.9883,,,,,H
2211,Baucom Elementary,95,0.9681,,,0.9689,0.987,0.9647,0.9571,0.9487,0.9789,0.9536,0.9532,0.9544,0.9569,0.9602,0.9638,0.9814,0.9812,0.9817,0.9827,0.984,0.9855,,H
2212,Beaverdam Elementary School,118,0.9629,,,0.9663,0.9528,0.9789,0.9068,1,0.9787,0.9523,0.9521,0.9534,0.9559,0.9592,0.9629,0.9775,0.9773,0.9779,0.9791,0.9807,0.9824,,H
2213,Brassfield Elementary,122,0.9277,,,0.924,0.9529,0.9672,0.8649,0.9062,0.9545,0.9046,0.9038,0.9061,0.9108,0.9173,0.9246,0.9411,0.9407,0.9422,0.9453,0.9493,0.9539,,M
2214,Brentwood Elementary,70,0.9133,,,0.9145,0.9688,0.9559,0.8143,0.9048,0.9298,0.8875,0.8867,0.8896,0.8952,0.9027,0.9111,0.9381,0.9376,0.9393,0.9425,0.9468,0.9516,,M
2218,Brooks Elementary,91,0.9562,,,0.9487,0.9882,0.9444,0.878,0.978,1,0.9286,0.928,0.9297,0.9333,0.9381,0.9437,0.966,0.9658,0.9667,0.9685,0.9709,0.9735,,H
2220,Buckhorn Creek Elementary,127,0.9518,,,0.9508,0.9764,0.976,0.9914,0.8318,0.9725,0.9332,0.933,0.9349,0.9383,0.9429,0.9479,0.966,0.9656,0.9664,0.9683,0.9707,0.9734,,H
2221,Bugg Elementary,64,0.9336,,,0.9386,0.875,0.9397,0.9429,1,0.9706,0.9044,0.9039,0.9062,0.911,0.9175,0.9245,0.9652,0.9649,0.9658,0.9677,0.9702,0.9729,,M
2222,Cardinal Charter Acad at Wendell Falls,136,0.9452,,,0.9396,0.9437,0.9551,0.9291,0.961,0.9485,0.9167,0.9161,0.9181,0.9224,0.928,0.9343,0.9588,0.9585,0.9596,0.9618,0.9647,0.968,,M
2223,Cardinal Charter Academy,118,0.7448,,,0.7702,0.7273,0.4118,0.6341,0.9875,0.9407,0.7342,0.7343,0.7397,0.7506,0.7657,0.7832,0.8035,0.8018,0.8062,0.8151,0.8271,0.8407,,L
2224,Carolina Charter Academy,120,0.9169,,,0.9187,0.9677,0.8583,0.8431,0.9515,0.9882,0.8949,0.8941,0.8966,0.9019,0.9088,0.9167,0.9399,0.9393,0.9408,0.9439,0.9481,0.9528,,M
