school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2443,Bethel Elementary,16,0.9638,,,0.963,1,0.875,1,0.9683,1,0.9214,0.9204,0.923,0.9272,0.9326,0.9385,0.9884,0.9884,0.9886,0.9892,0.9901,0.991,,H
2444,Blowing Rock Elementary,52,0.9679,,,0.9716,0.9211,0.9796,0.9565,1,0.9655,0.9515,0.9511,0.9526,0.9551,0.9585,0.9622,0.9861,0.986,0.9863,0.9871,0.9881,0.9893,,H
2445,Cove Creek Elementary,39,0.9788,,,0.9796,1,0.9394,0.9714,0.9825,1,0.9573,0.9571,0.9582,0.9604,0.9634,0.9668,0.9933,0.9932,0.9934,0.9938,0.9943,0.9948,,H
2446,Grace Academy,28,0.7779,,,0.7966,0.64,0.7407,0.75,0.875,0.9,0.7289,0.7277,0.7332,0.7445,0.7597,0.7775,0.8566,0.8553,0.8585,0.8655,0.8747,0.8853,,L
2448,Green Valley Elementary,32,0.978,,,0.9693,1,1,0.8966,1,1,0.9442,0.9441,0.9455,0.9484,0.9522,0.9565,0.9869,0.9867,0.9871,0.9878,0.9888,0.9898,,H
2449,Hardin Park Elementary,90,0.9531,,,0.955,0.9091,0.9444,0.9663,0.9589,0.988,0.9381,0.9376,0.9392,0.9424,0.9467,0.9514,0.9694,0.9692,0.97,0.9716,0.9738,0.9762,,H
2450,Mabel Elementary,19,0.9733,,,0.9763,0.9333,0.9444,1,0.9797,1,0.9471,0.9469,0.9481,0.951,0.9546,0.9587,0.9932,0.9932,0.9934,0.9938,0.9943,0.9948,,H
2452,Parkway Elementary,70,0.9836,,,0.9821,0.9783,0.9821,0.9857,0.9847,0.9861,0.9646,0.9643,0.9653,0.9672,0.9696,0.9724,0.9935,0.9934,0.9936,0.9939,0.9944,0.9949,,H
2453,Two Rivers Community School,21,0.7422,,,0.7789,0.7,0.8,0.4762,0.8049,0.9444,0.6968,0.6956,0.7013,0.7136,0.7302,0.7493,0.851,0.8501,0.8539,0.8609,0.8703,0.8811,,L
2454,Valle Crucis Elementary,40,0.9865,,,0.981,0.9667,0.9697,1,1,1,0.9622,0.9619,0.9629,0.9649,0.9675,0.9705,0.9933,0.9932,0.9934,0.9937,0.9942,0.9948,,H
