school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,is_estimated_K,is_estimated_1,is_estimated_2,is_estimated_3,is_estimated_4,is_estimated_5,prob_below_95,tier
2455,Brogden Primary,162,0.9932,,,0.9873,0.9935,0.9919,0.9931,0.9938,1,0.9796,0.9794,0.98,0.9811,0.9826,0.9842,0.9931,0.993,0.9932,0.9936,0.994,0.9946,1,0,0,0,0,0,,H
2456,Carver Elementary,131,0.9629,,,0.9547,0.9615,0.9375,0.9542,0.9896,0.9891,0.9373,0.9368,0.9385,0.9418,0.9461,0.9509,0.9692,0.9689,0.9697,0.9714,0.9735,0.976,1,0,0,0,0,0,,H
2458,Children's House Montessori Sch,5,0.9131,,,0.8607,1,0.863,1,0.8781,0.8879,0.6882,0.6867,0.6917,0.7044,0.7207,0.7403,0.9633,0.9631,0.9641,0.9661,0.9686,0.9716,1,0,1,0,1,1,,M
2459,Dillard Academy,26,0.9284,,,0.9453,0.96,0.9231,0.8846,0.9529,0.9048,0.9086,0.908,0.9104,0.9151,0.9211,0.9279,0.9739,0.9735,0.9741,0.9756,0.9774,0.9795,1,0,0,0,1,0,,M
2460,Eastern Wayne Elementary,116,0.9512,,,0.9492,0.9828,0.9718,1,0.8293,0.9722,0.9302,0.9294,0.9311,0.9348,0.9397,0.9451,0.9652,0.965,0.9659,0.9678,0.9702,0.9729,1,0,0,0,0,0,,H
2463,Faith Christian Academy,42,0.8444,,,0.8364,0.875,0.6286,0.8462,1,0.85,0.7849,0.7842,0.7891,0.7991,0.8121,0.8267,0.881,0.88,0.8829,0.8888,0.8967,0.9054,1,0,0,0,0,0,,L
2464,Fremont STARS Elementary,94,0.9898,,,0.9851,1,0.975,1,0.9737,1,0.9694,0.9692,0.9701,0.9715,0.9737,0.9761,0.9948,0.9947,0.9949,0.9952,0.9955,0.996,1,0,0,0,0,0,,H
2465,Grantham Elementary,99,0.9187,,,0.9293,0.9583,0.989,0.925,0.9899,0.7079,0.9077,0.907,0.9094,0.9141,0.9203,0.9273,0.948,0.9477,0.9491,0.9518,0.9554,0.9595,1,0,0,0,0,0,,M
2466,Living Waters Christian School,26,0.8417,,,0.8655,0.8846,0.625,,,,0.7488,0.7464,0.7516,,,,0.9488,0.9483,0.9496,,,,1,0,0,,,,,L
2467,Meadow Lane Elementary,154,0.9793,,,0.9767,0.9805,0.9549,0.9852,1,0.9748,0.9661,0.9657,0.9667,0.9686,0.971,0.9736,0.9856,0.9854,0.9858,0.9865,0.9876,0.9887,1,0,0,0,0,0,,H
