school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2487,Boomer-Ferguson Elementary School,20,0.9715,,,0.9747,1,0.9,1,0.9783,1,0.9429,0.9421,0.9436,0.9467,0.9508,0.9552,0.9927,0.9927,0.9929,0.9933,0.9938,0.9943,,H
2489,C B Eller Elementary School,42,0.9705,,,0.9752,0.8974,0.973,1,1,0.9762,0.9558,0.9553,0.9565,0.9588,0.9619,0.9654,0.9889,0.9889,0.9892,0.9898,0.9906,0.9915,,H
2490,C C Wright Elementary School,57,0.9796,,,0.9782,1,0.9744,0.9524,0.9814,0.9825,0.9613,0.9611,0.9621,0.9642,0.967,0.9701,0.9905,0.9904,0.9907,0.9912,0.9919,0.9926,,H
2492,Harvest Time Christian Acad.,11,0.7108,,,0.7567,0.8571,0.3636,0.7704,0.8,0.8003,0.6253,0.6225,0.629,0.6426,0.6612,0.6833,0.8674,0.8665,0.8693,0.8758,0.8844,0.8941,,L
2494,Millers Creek Christian School,23,0.8894,,,0.9065,0.85,0.9545,0.8261,0.8824,0.9261,0.8489,0.8474,0.8506,0.8579,0.8677,0.8788,0.952,0.9517,0.953,0.9556,0.9589,0.9627,,L
2495,Millers Creek Elementary School,120,0.9846,,,0.9831,1,0.9688,0.973,0.9833,1,0.9732,0.9729,0.9736,0.975,0.9769,0.9791,0.9908,0.9907,0.991,0.9915,0.9921,0.9929,,H
2496,Moravian Falls Elementary School,40,0.9887,,,0.986,1,0.9714,0.975,1,1,0.9706,0.9705,0.9712,0.9728,0.9749,0.9772,0.9955,0.9954,0.9955,0.9958,0.9961,0.9965,,H
2497,Mount Pleasant Elementary School,43,0.9541,,,0.9617,0.9767,0.9737,0.8108,1,1,0.9361,0.9356,0.9371,0.9405,0.9449,0.9497,0.9808,0.9807,0.9812,0.9822,0.9836,0.9851,,H
2498,Mountain View Elementary School,85,0.9718,,,0.9712,0.9583,0.9747,0.9722,0.9647,1,0.9557,0.9554,0.9566,0.9589,0.962,0.9655,0.9837,0.9836,0.984,0.9849,0.9861,0.9874,,H
2499,Mulberry Elementary School,67,0.9919,,,0.9847,0.9667,1,1,1,1,0.9712,0.9709,0.9718,0.9733,0.9754,0.9776,0.9935,0.9935,0.9936,0.994,0.9945,0.995,,H
2500,North Wilkesboro Elementary School,65,0.9947,,,0.9868,1,1,1,1,0.9787,0.974,0.9738,0.9746,0.976,0.9779,0.9799,0.9952,0.9951,0.9953,0.9955,0.9959,0.9963,,H
2501,Roaring River Elementary School,38,0.9624,,,0.9682,0.931,0.9474,0.963,0.9667,1,0.942,0.9417,0.9431,0.9463,0.9503,0.9547,0.9864,0.9863,0.9866,0.9874,0.9884,0.9894,,H
2502,Ronda-Clingman Elementary School,57,0.9912,,,0.9878,1,1,0.9778,0.98,1,0.9755,0.9753,0.976,0.9773,0.9791,0.981,0.9956,0.9956,0.9957,0.9959,0.9962,0.9966,,H
2503,Traphill Elementary School,17,0.9971,,,0.9809,1,1,1,1,1,0.955,0.9547,0.9559,0.9583,0.9614,0.9649,0.9951,0.9951,0.9952,0.9955,0.9958,0.9962,,H
2504,Wilkesboro Elementary School,62,0.9853,,,0.9854,0.9344,1,1,1,1,0.9724,0.9722,0.973,0.9745,0.9765,0.9786,0.9941,0.994,0.9942,0.9945,0.9949,0.9954,,H
