school_id,school_name,enrollment,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
2505,B O Barnes Elementary,55,0.9399,,,0.9555,0.8824,0.9636,0.9216,0.9618,0.9556,0.9314,0.9309,0.9328,0.9364,0.9412,0.9465,0.9743,0.974,0.9747,0.9762,0.978,0.9801,,M
2507,Community Christian School,36,0.9042,,,0.911,0.8,0.8,0.9091,0.9722,1,0.8684,0.8681,0.871,0.8772,0.8859,0.8955,0.9465,0.9456,0.947,0.9499,0.9537,0.9579,,M
2509,Frederick Douglass Elementary,70,0.9417,,,0.9464,0.9429,0.9032,0.9062,0.9844,0.9667,0.9249,0.9244,0.9263,0.9301,0.9352,0.9409,0.965,0.9647,0.9656,0.9676,0.97,0.9727,,M
2510,FUMC Weekday School,11,0.8054,,,0.8449,0.8889,0.6364,0.8889,,,0.7151,0.7131,0.7177,0.7289,,,0.9366,0.9363,0.9381,0.9414,,,,L
2511,First Presbyter Weekday School,9,0.9179,,,0.9318,0.875,0.8333,1,,,0.8368,0.8363,0.8401,0.8477,,,0.9844,0.9842,0.9846,0.9855,,,,M
2512,Gardners Elementary,48,0.9278,,,0.9379,0.9375,0.875,0.8409,1,1,0.9101,0.9096,0.912,0.9166,0.9226,0.9294,0.961,0.9607,0.9618,0.9638,0.9665,0.9696,,M
2513,Great Accomplishments Acad.,5,0.9263,,,0.94,1,1,0.6667,1,,0.8303,0.8298,0.8341,0.8423,0.8529,,0.9897,0.9896,0.9899,0.9905,0.9912,,,M
2515,Greenfield School,35,0.9812,,,0.9753,0.9714,1,0.9524,1,0.9808,0.9491,0.9486,0.95,0.9527,0.9563,0.9602,0.9914,0.9914,0.9916,0.9921,0.9927,0.9934,,H
2516,John W Jones Elementary,96,0.9234,,,0.9381,0.8438,0.8778,0.9684,0.9467,0.9747,0.917,0.9165,0.9184,0.9226,0.9282,0.9346,0.956,0.9556,0.9569,0.9592,0.9623,0.9657,,M
2517,Lee Woodard Elementary,35,0.9839,,,0.98,0.9524,1,1,1,0.96,0.9588,0.9586,0.9598,0.962,0.9649,0.9681,0.9933,0.9932,0.9934,0.9938,0.9943,0.9948,,H
2518,Level Up Academy,9,0.6034,,,0.6991,0.5556,0.5556,,,,0.5029,0.4999,0.5077,,,,0.8626,0.8618,0.8651,,,,,L
2520,Lucama Elementary,86,0.9474,,,0.9551,0.9884,0.9714,1,0.9844,0.7541,0.9359,0.9355,0.9371,0.9405,0.9449,0.9498,0.9705,0.9702,0.9711,0.9726,0.9747,0.977,,M
2521,Margaret Hearne Elementary,70,0.8798,,,0.9097,0.8525,0.8788,0.8,0.9815,0.88,0.8818,0.8813,0.8845,0.8904,0.8983,0.907,0.934,0.9333,0.935,0.9385,0.9431,0.9483,,L
2522,New Hope Elementary,88,0.976,,,0.978,0.9737,0.9744,0.9828,1,0.9412,0.9635,0.9632,0.9642,0.9662,0.9688,0.9716,0.9889,0.9888,0.989,0.9897,0.9905,0.9913,,H
2523,Rock Ridge Elementary,86,0.9818,,,0.9832,0.9884,0.9167,1,1,1,0.9703,0.9699,0.9706,0.9723,0.9744,0.9767,0.9922,0.9921,0.9923,0.9927,0.9933,0.9939,,H
2524,Sallie B Howard School,113,0.9758,,,0.9578,0.991,0.98,0.9608,0.9638,1,0.937,0.9364,0.9379,0.9412,0.9455,0.9504,0.9746,0.9744,0.9752,0.9766,0.9784,0.9804,,H
2525,Stantonsburg Elementary,36,0.9712,,,0.9772,0.9444,0.9286,1,0.9805,1,0.9558,0.9554,0.9567,0.9591,0.9622,0.9657,0.9916,0.9915,0.9917,0.9922,0.9928,0.9935,,H
2526,Vick Elementary,62,0.8642,,,0.8842,0.8226,0.6786,0.9138,0.9487,1,0.851,0.85,0.8536,0.8604,0.87,0.8807,0.9141,0.9135,0.9156,0.9202,0.926,0.9325,,L
2527,Vinson-Bynum Elementary,81,0.9152,,,0.9234,0.963,0.7308,0.9733,1,0.9348,0.8976,0.8967,0.8994,0.9045,0.9114,0.9191,0.9463,0.9457,0.9471,0.9499,0.9537,0.9579,,M
2528,Wells Elementary,59,0.9439,,,0.9547,0.8644,0.9636,0.9796,0.9512,0.9706,0.933,0.9327,0.9345,0.938,0.9426,0.9476,0.9723,0.972,0.9727,0.9742,0.9762,0.9784,,M
2529,Wilson Christian Academy,59,0.9514,,,0.9594,0.8846,0.88,0.9831,1,1,0.9358,0.9355,0.9371,0.9405,0.945,0.9499,0.9772,0.977,0.9777,0.9788,0.9804,0.9822,,H
2530,Wilson Preparatory Academy,72,0.9671,,,0.965,0.9545,1,0.9676,0.97,0.9444,0.9404,0.9398,0.9412,0.9444,0.9485,0.9531,0.9831,0.9829,0.9834,0.9843,0.9856,0.9869,,H
