school_id,school_name,county,enrollment,lon,lat,no_data,coverage,coverage_ci_low,coverage_ci_high,coverage_K,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_ci_low_K,coverage_ci_low_1,coverage_ci_low_2,coverage_ci_low_3,coverage_ci_low_4,coverage_ci_low_5,coverage_ci_high_K,coverage_ci_high_1,coverage_ci_high_2,coverage_ci_high_3,coverage_ci_high_4,coverage_ci_high_5,prob_below_95,tier
101,Altamahaw-Ossipee Elementary,Alamance,104,,,0,0.9671,,,0.9351,0.9904,0.9895,0.9211,0.9802,0.9775,0.9335,0.9336,0.9356,0.9391,0.9436,0.9486,0.9367,0.9356,0.937,0.9403,0.9447,0.9497,,H
102,Alamance Christian School,Alamance,35,,,0,0.8357,,,0.8885,0.875,0.8,0.8,0.7692,0.9,0.8596,0.8586,0.8621,0.8689,0.8782,0.8885,0.9135,0.913,0.9153,0.9198,0.9257,0.9321,,L
103,Alamance Community School,Alamance,134,,,0,0.9793,,,0.9639,0.9667,0.9906,0.9694,0.9825,1,0.9504,0.9501,0.9514,0.9542,0.9576,0.9614,0.9751,0.9749,0.9755,0.9768,0.9786,0.9806,,H
105,Alexander Wilson Elementary,Alamance,103,,,0,0.9744,,,0.9675,0.9663,0.9639,0.9612,0.9891,1,0.955,0.9546,0.956,0.9584,0.9615,0.965,0.9776,0.9774,0.978,0.9792,0.9808,0.9826,,H
106,Audrey W. Garrett Elementary,Alamance,115,,,0,0.9775,,,0.9688,0.9739,0.9737,0.978,0.9789,1,0.9562,0.9559,0.957,0.9592,0.9623,0.9657,0.9791,0.9789,0.9795,0.9806,0.9821,0.9838,,H
107,B. Everett Jordan Elementary,Alamance,60,,,0,0.9732,,,0.9496,1,0.9783,0.9667,0.9492,1,0.9308,0.9304,0.9323,0.9359,0.9406,0.9459,0.9656,0.9653,0.9663,0.9681,0.9705,0.9732,,H
108,Bible Wesleyan Chr. Sch.,Alamance,2,,,0,0.6898,,,0.8977,1,0,1,0.5,1,0.8434,0.8427,0.846,0.8533,0.8631,0.8744,0.9385,0.9379,0.9398,0.9428,0.947,0.9517,,L
109,Blessed Sacrament Catholic Sch.,Alamance,28,,,0,0.9905,,,0.9738,1,0.9743,1,1,1,0.9566,0.9563,0.9574,0.9596,0.9627,0.9661,0.9856,0.9855,0.9858,0.9866,0.9877,0.9888,,H
110,Bradford Academy,Alamance,31,,,0,0.8921,,,0.9231,0.8333,0.8966,0.7586,1,0.9333,0.8899,0.8893,0.892,0.8975,0.9048,0.9131,0.9484,0.9476,0.949,0.9517,0.9554,0.9594,,L
111,Burlington Christian Academy,Alamance,83,,,0,0.9514,,,0.9496,0.9259,0.961,0.9398,0.95,1,0.9336,0.933,0.9346,0.9381,0.9427,0.9479,0.9626,0.9623,0.9633,0.9653,0.968,0.971,,H
113,Clover Garden,Alamance,74,,,0,0.9784,,,0.9637,0.973,0.9853,0.9839,0.9689,1,0.9519,0.9514,0.9527,0.9553,0.9587,0.9624,0.9734,0.9732,0.974,0.9754,0.9773,0.9794,,H
114,E M Yoder Elementary,Alamance,63,,,0,0.979,,,0.9658,0.9818,0.9348,1,1,0.98,0.9556,0.9553,0.9566,0.959,0.9621,0.9656,0.9741,0.9738,0.9746,0.976,0.9778,0.9798,,H
115,Edwin M Holt Elementary,Alamance,82,,,0,0.9749,,,0.9583,0.9861,0.9178,1,1,0.9859,0.9452,0.9446,0.9461,0.949,0.9528,0.9571,0.9697,0.9694,0.9703,0.9719,0.974,0.9764,,H
116,Eastlawn Elementary,Alamance,92,,,0,0.9942,,,0.9873,1,1,1,1,0.9775,0.9785,0.9782,0.9788,0.98,0.9815,0.9832,0.9939,0.9938,0.994,0.9943,0.9947,0.9952,,H
117,Elon Elementary,Alamance,124,,,0,0.9831,,,0.9714,0.9913,0.9829,0.9905,0.9758,0.9892,0.9623,0.9621,0.9632,0.9653,0.9679,0.9709,0.9789,0.9787,0.9794,0.9805,0.982,0.9837,,H
119,Grace Christian Academy,Alamance,39,,,0,0.8775,,,0.9415,0.6296,0.8462,0.9737,0.92,1,0.9232,0.9228,0.9247,0.9287,0.934,0.9398,0.9568,0.9564,0.9575,0.9597,0.9628,0.9662,,L
120,Grove Park Elementary,Alamance,76,,,0,0.9444,,,0.9491,0.9605,0.9412,0.9538,0.913,0.9474,0.9346,0.9342,0.9359,0.9393,0.9438,0.9488,0.9618,0.9615,0.9624,0.9645,0.9672,0.9701,,M
121,Harvey R Newlin Elementary,Alamance,94,,,0,0.9599,,,0.9548,0.9851,0.9438,0.958,0.977,0.9468,0.9393,0.9389,0.9405,0.9437,0.9478,0.9525,0.9682,0.9678,0.9686,0.9703,0.9726,0.9751,,H
122,Haw River Elementary,Alamance,78,,,0,0.9575,,,0.9527,0.9615,0.9091,0.9692,0.9722,0.9857,0.9347,0.9343,0.9361,0.9394,0.9439,0.9489,0.9679,0.9675,0.9684,0.9702,0.9725,0.975,,H
123,Highland Elementary,Alamance,109,,,0,0.9592,,,0.9003,0.9712,0.9697,0.9604,0.9725,0.9875,0.8779,0.8771,0.88,0.886,0.8939,0.903,0.9205,0.9199,0.9219,0.926,0.9314,0.9375,,H
124,Hillcrest Elementary,Alamance,87,,,0,0.9521,,,0.9379,0.9157,0.9615,0.9655,0.9706,0.9643,0.9224,0.922,0.924,0.9278,0.9331,0.9389,0.9512,0.9509,0.9522,0.9547,0.9581,0.9619,,H
125,Marvin B Smith Elementary,Alamance,112,,,0,0.9688,,,0.9608,0.9802,0.9643,0.9868,0.9459,0.9747,0.9475,0.9471,0.9484,0.9513,0.9549,0.959,0.9721,0.9719,0.9727,0.9742,0.9761,0.9783,,H
126,North Graham Elementary,Alamance,66,,,0,0.983,,,0.9564,1,1,0.9815,0.9697,1,0.9428,0.942,0.9436,0.9467,0.9507,0.9552,0.968,0.9677,0.9687,0.9704,0.9727,0.9752,,H
127,Pleasant Grove Elementary,Alamance,52,,,0,0.9664,,,0.9635,1,0.9423,0.9149,0.9808,1,0.9556,0.9553,0.9564,0.9588,0.9619,0.9654,0.9703,0.9701,0.9709,0.9725,0.9746,0.977,,H
129,R Homer Andrews Elementary,Alamance,81,,,0,0.9838,,,0.9667,1,0.9744,0.9873,1,0.9726,0.9534,0.9529,0.9543,0.9567,0.9599,0.9635,0.9777,0.9775,0.9781,0.9793,0.9809,0.9827,,H
130,River Mill Academy,Alamance,70,,,0,0.9839,,,0.9634,0.9857,0.9853,0.9697,1,1,0.9524,0.9521,0.9533,0.9558,0.9592,0.9629,0.9729,0.9726,0.9733,0.9748,0.9767,0.9789,,H
131,South Graham Elementary,Alamance,112,,,0,0.9633,,,0.9567,0.9464,0.9583,0.9219,1,1,0.9417,0.9412,0.9428,0.9459,0.9499,0.9544,0.9693,0.9692,0.97,0.9717,0.9739,0.9763,,H
132,South Mebane Elementary,Alamance,90,,,0,0.9827,,,0.9697,0.9846,0.9663,0.9861,0.9889,1,0.9576,0.9572,0.9583,0.9605,0.9636,0.9669,0.9796,0.9794,0.98,0.9811,0.9826,0.9842,,H
133,Sylvan Elementary,Alamance,52,,,0,0.9684,,,0.9608,1,0.9231,0.9565,0.98,1,0.9525,0.9522,0.9534,0.9559,0.9593,0.963,0.9683,0.9679,0.9688,0.9704,0.9727,0.9752,,H
134,The Burlington School,Alamance,35,,,0,0.9683,,,0.9545,0.9615,1,0.9577,0.9429,1,0.9317,0.9311,0.9329,0.9363,0.9411,0.9463,0.9719,0.9717,0.9724,0.974,0.9759,0.9781,,H
135,The Hawbridge School,Alamance,35,,,0,0.9595,,,0.9566,1,0.9375,0.931,0.9667,,0.9467,0.9463,0.9477,0.9505,0.9542,,0.9651,0.9648,0.9657,0.9676,0.97,,,H
138,Bethlehem Elementary,Alexander,70,,,0,0.9763,,,0.9643,0.9344,0.9714,0.9844,1,1,0.9482,0.9476,0.9489,0.9515,0.9551,0.9591,0.9774,0.9772,0.9778,0.9791,0.9807,0.9825,,H
139,Ellendale Elementary,Alexander,42,,,0,0.9731,,,0.9649,1,0.9655,0.9286,1,1,0.9426,0.942,0.9437,0.9466,0.9506,0.955,0.9811,0.981,0.9815,0.9826,0.9839,0.9854,,H
140,Hiddenite Elementary,Alexander,61,,,0,0.9824,,,0.9686,0.9388,1,0.9783,1,1,0.9554,0.9553,0.9566,0.9589,0.962,0.9654,0.9788,0.9786,0.9793,0.9804,0.9819,0.9836,,H
141,Millersville Christian Academy,Alexander,29,,,0,0.9131,,,0.9179,1,1,0.931,0.7143,0.9353,0.8758,0.8748,0.8781,0.884,0.8922,0.9015,0.9507,0.9504,0.9517,0.9543,0.9578,0.9616,,M
142,Stony Point Elementary,Alexander,36,,,0,0.9767,,,0.9533,0.9667,0.9677,0.9714,1,1,0.9441,0.9437,0.9452,0.9481,0.952,0.9563,0.9609,0.9605,0.9616,0.9637,0.9664,0.9695,,H
143,Sugar Loaf Elementary,Alexander,37,,,0,0.9618,,,0.9483,0.9459,0.8889,1,1,1,0.9279,0.9275,0.9294,0.9332,0.938,0.9436,0.9641,0.9638,0.9648,0.9668,0.9693,0.9721,,H
